Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2015,Apprentices,"Agriculture, environmental and related studies",S05,4550,number,Number of people,
2016,Apprentices,"Agriculture, environmental and related studies",S05,4900,number,Number of people,
2017,Apprentices,"Agriculture, environmental and related studies",S05,5025,number,Number of people,
2018,Apprentices,"Agriculture, environmental and related studies",S05,4820,number,Number of people,
2019,Apprentices,"Agriculture, environmental and related studies",S05,5580,number,Number of people,
2020,Apprentices,"Agriculture, environmental and related studies",S05,6430,number,Number of people,
2021,Apprentices,"Agriculture, environmental and related studies",S05,7745,number,Number of people,
2022,Apprentices,"Agriculture, environmental and related studies",S05,6960,number,Number of people,
2023,Apprentices,"Agriculture, environmental and related studies",S05,4850,number,Number of people,
2024,Apprentices,"Agriculture, environmental and related studies",S05,4025,number,Number of people,
2015,Apprentices,Architecture and building,S04,15155,number,Number of people,
2016,Apprentices,Architecture and building,S04,16280,number,Number of people,
2017,Apprentices,Architecture and building,S04,17845,number,Number of people,
2018,Apprentices,Architecture and building,S04,19835,number,Number of people,
2019,Apprentices,Architecture and building,S04,21145,number,Number of people,
2020,Apprentices,Architecture and building,S04,25805,number,Number of people,
2021,Apprentices,Architecture and building,S04,33325,number,Number of people,
2022,Apprentices,Architecture and building,S04,36985,number,Number of people,
2023,Apprentices,Architecture and building,S04,35665,number,Number of people,
2024,Apprentices,Architecture and building,S04,31775,number,Number of people,
2015,Apprentices,Creative arts,S10,145,number,Number of people,
2016,Apprentices,Creative arts,S10,145,number,Number of people,
2017,Apprentices,Creative arts,S10,120,number,Number of people,
2018,Apprentices,Creative arts,S10,135,number,Number of people,
2019,Apprentices,Creative arts,S10,105,number,Number of people,
2020,Apprentices,Creative arts,S10,100,number,Number of people,
2021,Apprentices,Creative arts,S10,105,number,Number of people,
2022,Apprentices,Creative arts,S10,105,number,Number of people,
2023,Apprentices,Creative arts,S10,70,number,Number of people,
2024,Apprentices,Creative arts,S10,40,number,Number of people,
2015,Apprentices,Education,S07,75,number,Number of people,
2016,Apprentices,Education,S07,85,number,Number of people,
2017,Apprentices,Education,S07,85,number,Number of people,
2018,Apprentices,Education,S07,70,number,Number of people,
2019,Apprentices,Education,S07,25,number,Number of people,
2020,Apprentices,Education,S07,15,number,Number of people,
2021,Apprentices,Education,S07,15,number,Number of people,
2022,Apprentices,Education,S07,5,number,Number of people,
2023,Apprentices,Education,S07,0,number,Number of people,
2024,Apprentices,Education,S07,0,number,Number of people,
2015,Apprentices,Engineering and related technologies,S03,16110,number,Number of people,
2016,Apprentices,Engineering and related technologies,S03,16340,number,Number of people,
2017,Apprentices,Engineering and related technologies,S03,16885,number,Number of people,
2018,Apprentices,Engineering and related technologies,S03,18460,number,Number of people,
2019,Apprentices,Engineering and related technologies,S03,19255,number,Number of people,
