Year,Training type,Grouping variable,Category,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2024,Trainees,Ethnic group,European,"Agriculture, environmental and related studies",S05,3195,number,Number of people,
2024,Trainees,Ethnic group,Māori,"Agriculture, environmental and related studies",S05,1665,number,Number of people,
2024,Trainees,Ethnic group,Pacific Peoples,"Agriculture, environmental and related studies",S05,315,number,Number of people,
2024,Trainees,Ethnic group,Asian,"Agriculture, environmental and related studies",S05,415,number,Number of people,
2024,Trainees,Ethnic group,MELAA,"Agriculture, environmental and related studies",S05,85,number,Number of people,
2024,Trainees,Ethnic group,Other,"Agriculture, environmental and related studies",S05,180,number,Number of people,
2024,Trainees,Ethnic group,Total,"Agriculture, environmental and related studies",S05,6145,number,Number of people,
2024,Trainees,Gender,Male,"Agriculture, environmental and related studies",S05,4850,number,Number of people,
2024,Trainees,Gender,Female,"Agriculture, environmental and related studies",S05,1290,number,Number of people,
2024,Trainees,Gender,Total,"Agriculture, environmental and related studies",S05,6145,number,Number of people,
2024,Trainees,Age group,*-19,"Agriculture, environmental and related studies",S05,410,number,Number of people,
2024,Trainees,Age group,20-29,"Agriculture, environmental and related studies",S05,2120,number,Number of people,
2024,Trainees,Age group,30-39,"Agriculture, environmental and related studies",S05,1670,number,Number of people,
2024,Trainees,Age group,40-49,"Agriculture, environmental and related studies",S05,1010,number,Number of people,
2024,Trainees,Age group,50+,"Agriculture, environmental and related studies",S05,935,number,Number of people,
2024,Trainees,Ethnic group,European,Architecture and building,S04,2185,number,Number of people,
2024,Trainees,Ethnic group,Māori,Architecture and building,S04,655,number,Number of people,
2024,Trainees,Ethnic group,Pacific Peoples,Architecture and building,S04,405,number,Number of people,
2024,Trainees,Ethnic group,Asian,Architecture and building,S04,480,number,Number of people,
2024,Trainees,Ethnic group,MELAA,Architecture and building,S04,105,number,Number of people,
2024,Trainees,Ethnic group,Other,Architecture and building,S04,25,number,Number of people,
2024,Trainees,Ethnic group,Total,Architecture and building,S04,3870,number,Number of people,
2024,Trainees,Gender,Male,Architecture and building,S04,3665,number,Number of people,
2024,Trainees,Gender,Female,Architecture and building,S04,190,number,Number of people,
2024,Trainees,Gender,Total,Architecture and building,S04,3870,number,Number of people,
2024,Trainees,Age group,*-19,Architecture and building,S04,110,number,Number of people,
2024,Trainees,Age group,20-29,Architecture and building,S04,1295,number,Number of people,
2024,Trainees,Age group,30-39,Architecture and building,S04,1405,number,Number of people,
2024,Trainees,Age group,40-49,Architecture and building,S04,750,number,Number of people,
2024,Trainees,Age group,50+,Architecture and building,S04,315,number,Number of people,
2024,Trainees,Ethnic group,European,Creative arts,S10,115,number,Number of people,
2024,Trainees,Ethnic group,Māori,Creative arts,S10,35,number,Number of people,
2024,Trainees,Ethnic group,Pacific Peoples,Creative arts,S10,10,number,Number of people,
2024,Trainees,Ethnic group,Asian,Creative arts,S10,5,number,Number of people,
2024,Trainees,Ethnic group,MELAA,Creative arts,S10,5,number,Number of people,
2024,Trainees,Ethnic group,Other,Creative arts,S10,5,number,Number of people,
2024,Trainees,Ethnic group,Total,Creative arts,S10,150,number,Number of people,
2024,Trainees,Gender,Male,Creative arts,S10,75,number,Number of people,
2024,Trainees,Gender,Female,Creative arts,S10,70,number,Number of people,
2024,Trainees,Gender,Total,Creative arts,S10,150,number,Number of people,
2024,Trainees,Age group,*-19,Creative arts,S10,40,number,Number of people,
2024,Trainees,Age group,20-29,Creative arts,S10,55,number,Number of people,
2024,Trainees,Age group,30-39,Creative arts,S10,35,number,Number of people,
2024,Trainees,Age group,40-49,Creative arts,S10,15,number,Number of people,
2024,Trainees,Age group,50+,Creative arts,S10,10,number,Number of people,
2024,Trainees,Ethnic group,European,Education,S07,105,number,Number of people,
2024,Trainees,Ethnic group,Māori,Education,S07,25,number,Number of people,
2024,Trainees,Ethnic group,Pacific Peoples,Education,S07,15,number,Number of people,
2024,Trainees,Ethnic group,Asian,Education,S07,15,number,Number of people,
2024,Trainees,Ethnic group,MELAA,Education,S07,5,number,Number of people,
2024,Trainees,Ethnic group,Other,Education,S07,5,number,Number of people,
2024,Trainees,Ethnic group,Total,Education,S07,140,number,Number of people,
2024,Trainees,Gender,Male,Education,S07,70,number,Number of people,
2024,Trainees,Gender,Female,Education,S07,70,number,Number of people,
2024,Trainees,Gender,Total,Education,S07,140,number,Number of people,
2024,Trainees,Age group,*-19,Education,S07,0,number,Number of people,
2024,Trainees,Age group,20-29,Education,S07,30,number,Number of people,
