Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Ethnic group,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,European,90,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Māori,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,45,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Asian,60,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Other,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,235,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,European,1060,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Māori,405,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,460,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Asian,710,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Other,195,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,2350,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,840,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,190,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,105,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,145,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,70,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,1185,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,European,10495,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Māori,1595,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,1160,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Asian,4375,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Other,995,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,15815,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,135,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,80,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,20,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,225,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,1610,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,220,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,130,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,800,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,160,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,2580,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,European,1150,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Māori,125,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Pacific Peoples,50,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Asian,425,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Other,100,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,1655,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,European,825,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Māori,100,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,30,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Asian,200,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Other,75,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,1090,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,European,15950,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Māori,2645,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Pacific Peoples,1965,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Asian,6680,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Other,1610,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,24740,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Total,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,European,70,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Māori,25,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,40,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Asian,45,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Other,25,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,Domestic,Total,175,number,Number of students enrolled,
