Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,15-*,No qualification,S00,Count,1587222,number,Number of people,
2013,Census usually resident population,15-*,No qualification,S00,Percentage of total stated,53.73311680596,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,No qualification,S00,Count,1689069,number,Number of people,
2018,Census usually resident population,15-*,No qualification,S00,Percentage of total stated,48.17135983135,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,No qualification,S00,Count,1773828,number,Number of people,
2023,Census usually resident population,15-*,No qualification,S00,Percentage of total stated,45.99472591071,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Count,8616,number,Number of people,
2013,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Percentage of total stated,0.2916822816217,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Count,7143,number,Number of people,
2018,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Percentage of total stated,0.2037146044805,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Count,10185,number,Number of people,
2023,Census usually resident population,15-*,Natural and physical sciences not further defined,S0100,Percentage of total stated,0.2640934089442,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Count,333,number,Number of people,
2013,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Percentage of total stated,0.01127323581477,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Count,147,number,Number of people,
2018,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Percentage of total stated,0.004192362712955,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Count,306,number,Number of people,
2023,Census usually resident population,15-*,Mathematical sciences not further defined,S010100,Percentage of total stated,0.007934470607454,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Mathematics,S010101,Count,7440,number,Number of people,
2013,Census usually resident population,15-*,Mathematics,S010101,Percentage of total stated,0.2518704938794,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Mathematics,S010101,Count,12135,number,Number of people,
2018,Census usually resident population,15-*,Mathematics,S010101,Percentage of total stated,0.3460838198756,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Mathematics,S010101,Count,14079,number,Number of people,
2023,Census usually resident population,15-*,Mathematics,S010101,Percentage of total stated,0.3650634368704,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Statistics,S010103,Count,1647,number,Number of people,
