Year,Training type,Grouping variable,Category,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2024,Apprentices,Ethnic group,European,"Agriculture, environmental and related studies",S05,2520,number,Number of people,
2024,Apprentices,Ethnic group,Māori,"Agriculture, environmental and related studies",S05,985,number,Number of people,
2024,Apprentices,Ethnic group,Pacific Peoples,"Agriculture, environmental and related studies",S05,105,number,Number of people,
2024,Apprentices,Ethnic group,Asian,"Agriculture, environmental and related studies",S05,180,number,Number of people,
2024,Apprentices,Ethnic group,MELAA,"Agriculture, environmental and related studies",S05,65,number,Number of people,
2024,Apprentices,Ethnic group,Other,"Agriculture, environmental and related studies",S05,90,number,Number of people,
2024,Apprentices,Ethnic group,Total,"Agriculture, environmental and related studies",S05,4025,number,Number of people,
2024,Apprentices,Gender,Male,"Agriculture, environmental and related studies",S05,2920,number,Number of people,
2024,Apprentices,Gender,Female,"Agriculture, environmental and related studies",S05,1100,number,Number of people,
2024,Apprentices,Gender,Total,"Agriculture, environmental and related studies",S05,4025,number,Number of people,
2024,Apprentices,Age group,*-19,"Agriculture, environmental and related studies",S05,390,number,Number of people,
2024,Apprentices,Age group,20-29,"Agriculture, environmental and related studies",S05,1945,number,Number of people,
2024,Apprentices,Age group,30-39,"Agriculture, environmental and related studies",S05,1060,number,Number of people,
2024,Apprentices,Age group,40-49,"Agriculture, environmental and related studies",S05,405,number,Number of people,
2024,Apprentices,Age group,50+,"Agriculture, environmental and related studies",S05,225,number,Number of people,
2024,Apprentices,Ethnic group,European,Architecture and building,S04,18540,number,Number of people,
2024,Apprentices,Ethnic group,Māori,Architecture and building,S04,6650,number,Number of people,
2024,Apprentices,Ethnic group,Pacific Peoples,Architecture and building,S04,3230,number,Number of people,
2024,Apprentices,Ethnic group,Asian,Architecture and building,S04,3525,number,Number of people,
2024,Apprentices,Ethnic group,MELAA,Architecture and building,S04,860,number,Number of people,
2024,Apprentices,Ethnic group,Other,Architecture and building,S04,270,number,Number of people,
2024,Apprentices,Ethnic group,Total,Architecture and building,S04,31775,number,Number of people,
2024,Apprentices,Gender,Male,Architecture and building,S04,30055,number,Number of people,
2024,Apprentices,Gender,Female,Architecture and building,S04,1630,number,Number of people,
2024,Apprentices,Gender,Total,Architecture and building,S04,31775,number,Number of people,
2024,Apprentices,Age group,*-19,Architecture and building,S04,3360,number,Number of people,
