Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2000,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,176382,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,155170,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,156414,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,153695,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,236750,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,216146,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,189582,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,178812,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,190236,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,179880,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,224961,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,241834,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,256374,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,220722,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,378745,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,234040,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,283360,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,290296,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,240523,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,303536,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,446331,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,470899,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,536457,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,282856,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),Animals; live,HS01,01,245916,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,3694993,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4316052,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4285981,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4160381,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4576001,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4655206,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4668137,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,4346126,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5145146,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5141734,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5089394,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5529367,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5165930,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5276855,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5929569,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,6825067,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,5912963,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,6616017,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,7424916,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,8043112,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,8043206,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,8748331,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,9780790,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,8728722,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),Meat and edible meat offal,HS02,02,8577652,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1289445,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1348875,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1374737,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1068009,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1130424,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1131999,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1194791,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1102547,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1217095,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1262084,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1307065,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1360776,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1379273,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1327852,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1375254,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1451859,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1617370,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1609316,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1637134,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1839431,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1627262,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1693352,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1820120,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,1934871,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,2013175,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,4595220,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,6366127,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5210443,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,4762855,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5006767,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,5198199,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,6255031,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,7556716,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,9284861,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,8115923,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,10414998,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,12021198,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11561610,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,13590813,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,14728429,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11824838,nzd,NZD thousands,
2016,Total Exports (exports + re-exports) (free on board),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,11502564,nzd,NZD thousands,
