Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,total,246842,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,*-4,9390,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,5-9,6431,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,10-14,8133,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,15-19,11652,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,20-24,12140,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,25-29,12351,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,30-34,12782,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,35-39,10944,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,40-44,9959,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,45-49,10582,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,50-54,12759,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,55-59,13801,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,60-64,15939,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,65-69,16376,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,70-74,17610,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,75-79,19105,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,80-84,19140,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Total,85-*,27748,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,total,126976,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,*-4,5418,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,5-9,3582,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,10-14,4691,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,15-19,6212,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,20-24,6686,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,25-29,6767,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,30-34,6728,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,35-39,5719,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,40-44,5370,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,45-49,5659,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,50-54,6829,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,55-59,7284,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,60-64,8508,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,65-69,8662,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,70-74,9250,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,75-79,9553,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,80-84,8860,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,85-*,11198,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,total,119866,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,*-4,3972,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,5-9,2849,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,10-14,3442,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,15-19,5440,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,20-24,5454,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,25-29,5584,number,Number of hospitalisations,
