Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2000,Imports (cost including insurance and freight),Animals; live,HS01,01,67057,nzd,NZD thousands,
2001,Imports (cost including insurance and freight),Animals; live,HS01,01,72548,nzd,NZD thousands,
2002,Imports (cost including insurance and freight),Animals; live,HS01,01,61500,nzd,NZD thousands,
2003,Imports (cost including insurance and freight),Animals; live,HS01,01,51427,nzd,NZD thousands,
2004,Imports (cost including insurance and freight),Animals; live,HS01,01,39590,nzd,NZD thousands,
2005,Imports (cost including insurance and freight),Animals; live,HS01,01,55978,nzd,NZD thousands,
2006,Imports (cost including insurance and freight),Animals; live,HS01,01,57905,nzd,NZD thousands,
2007,Imports (cost including insurance and freight),Animals; live,HS01,01,49951,nzd,NZD thousands,
2008,Imports (cost including insurance and freight),Animals; live,HS01,01,39137,nzd,NZD thousands,
2009,Imports (cost including insurance and freight),Animals; live,HS01,01,77533,nzd,NZD thousands,
2010,Imports (cost including insurance and freight),Animals; live,HS01,01,75914,nzd,NZD thousands,
2011,Imports (cost including insurance and freight),Animals; live,HS01,01,44661,nzd,NZD thousands,
2012,Imports (cost including insurance and freight),Animals; live,HS01,01,49080,nzd,NZD thousands,
2013,Imports (cost including insurance and freight),Animals; live,HS01,01,56830,nzd,NZD thousands,
2014,Imports (cost including insurance and freight),Animals; live,HS01,01,70089,nzd,NZD thousands,
2015,Imports (cost including insurance and freight),Animals; live,HS01,01,73375,nzd,NZD thousands,
2016,Imports (cost including insurance and freight),Animals; live,HS01,01,90612,nzd,NZD thousands,
2017,Imports (cost including insurance and freight),Animals; live,HS01,01,86271,nzd,NZD thousands,
2018,Imports (cost including insurance and freight),Animals; live,HS01,01,75254,nzd,NZD thousands,
2019,Imports (cost including insurance and freight),Animals; live,HS01,01,76893,nzd,NZD thousands,
2020,Imports (cost including insurance and freight),Animals; live,HS01,01,69125,nzd,NZD thousands,
2021,Imports (cost including insurance and freight),Animals; live,HS01,01,67516,nzd,NZD thousands,
2022,Imports (cost including insurance and freight),Animals; live,HS01,01,61799,nzd,NZD thousands,
2023,Imports (cost including insurance and freight),Animals; live,HS01,01,68001,nzd,NZD thousands,
2024,Imports (cost including insurance and freight),Animals; live,HS01,01,79610,nzd,NZD thousands,
2000,Imports (value for duty),Animals; live,HS01,01,65065,nzd,NZD thousands,
2001,Imports (value for duty),Animals; live,HS01,01,70827,nzd,NZD thousands,
2002,Imports (value for duty),Animals; live,HS01,01,59790,nzd,NZD thousands,
2003,Imports (value for duty),Animals; live,HS01,01,49870,nzd,NZD thousands,
2004,Imports (value for duty),Animals; live,HS01,01,37929,nzd,NZD thousands,
2005,Imports (value for duty),Animals; live,HS01,01,54054,nzd,NZD thousands,
2006,Imports (value for duty),Animals; live,HS01,01,55940,nzd,NZD thousands,
2007,Imports (value for duty),Animals; live,HS01,01,48091,nzd,NZD thousands,
2008,Imports (value for duty),Animals; live,HS01,01,37693,nzd,NZD thousands,
2009,Imports (value for duty),Animals; live,HS01,01,75117,nzd,NZD thousands,
2010,Imports (value for duty),Animals; live,HS01,01,73604,nzd,NZD thousands,
2011,Imports (value for duty),Animals; live,HS01,01,42756,nzd,NZD thousands,
2012,Imports (value for duty),Animals; live,HS01,01,44639,nzd,NZD thousands,
2013,Imports (value for duty),Animals; live,HS01,01,49906,nzd,NZD thousands,
2014,Imports (value for duty),Animals; live,HS01,01,62365,nzd,NZD thousands,
2015,Imports (value for duty),Animals; live,HS01,01,66178,nzd,NZD thousands,
2016,Imports (value for duty),Animals; live,HS01,01,83644,nzd,NZD thousands,
2017,Imports (value for duty),Animals; live,HS01,01,78326,nzd,NZD thousands,
2018,Imports (value for duty),Animals; live,HS01,01,66715,nzd,NZD thousands,
2019,Imports (value for duty),Animals; live,HS01,01,68694,nzd,NZD thousands,
2020,Imports (value for duty),Animals; live,HS01,01,62644,nzd,NZD thousands,
