Financial year,Industry,Industry Code,Quartile label,Financial benchmark,Value type,Value,Value Unit,Value Label,Null Reason
2024,Accommodation,H4400,Large,Current ratio,Lower bound (25th percentile),0.28,percentage,% of total current liabilities,
2024,Accommodation,H4400,Large,Current ratio,Upper bound (75th percentile),1.88,percentage,% of total current liabilities,
2024,Accommodation,H4400,Large,Current ratio,Median (50th percentile),0.81,percentage,% of total current liabilities,
2024,Accommodation,H4400,Large,Stock turnover per annum,Lower bound (25th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Large,Stock turnover per annum,Upper bound (75th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Large,Stock turnover per annum,Median (50th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Large,Return on equity,Lower bound (25th percentile),0.03,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Large,Return on equity,Upper bound (75th percentile),0.73,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Large,Return on equity,Median (50th percentile),0.27,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Large,Gross profit ratio,Lower bound (25th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Large,Gross profit ratio,Upper bound (75th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Large,Gross profit ratio,Median (50th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Large,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Accommodation,H4400,Large,Return on total assets,Upper bound (75th percentile),0.24,percentage,% of total assets,
2024,Accommodation,H4400,Large,Return on total assets,Median (50th percentile),0.09,percentage,% of total assets,
2024,Accommodation,H4400,Large,Liability structure,Lower bound (25th percentile),0.03,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Large,Liability structure,Upper bound (75th percentile),0.63,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Large,Liability structure,Median (50th percentile),0.3,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Large,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.09,percentage,% of turnover income,
2024,Accommodation,H4400,Large,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.27,percentage,% of turnover income,
2024,Accommodation,H4400,Large,Salaries and wages / turnover ratio,Median (50th percentile),0.18,percentage,% of turnover income,
2024,Accommodation,H4400,Large,Quick ratio,Lower bound (25th percentile),0.25,percentage,% of total current liabilities,
2024,Accommodation,H4400,Large,Quick ratio,Upper bound (75th percentile),1.81,percentage,% of total current liabilities,
2024,Accommodation,H4400,Large,Quick ratio,Median (50th percentile),0.79,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Current ratio,Lower bound (25th percentile),0.13,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Current ratio,Upper bound (75th percentile),2.18,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Current ratio,Median (50th percentile),0.53,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Gross profit ratio,Lower bound (25th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Medium,Gross profit ratio,Upper bound (75th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Medium,Gross profit ratio,Median (50th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Medium,Liability structure,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Medium,Liability structure,Upper bound (75th percentile),0.6,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Medium,Liability structure,Median (50th percentile),0.16,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Medium,Quick ratio,Lower bound (25th percentile),0.12,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Quick ratio,Upper bound (75th percentile),2.15,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Quick ratio,Median (50th percentile),0.5,percentage,% of total current liabilities,
2024,Accommodation,H4400,Medium,Stock turnover per annum,Lower bound (25th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Medium,Stock turnover per annum,Upper bound (75th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Medium,Stock turnover per annum,Median (50th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Medium,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Medium,Return on equity,Upper bound (75th percentile),0.56,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Medium,Return on equity,Median (50th percentile),0.13,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Medium,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Accommodation,H4400,Medium,Return on total assets,Upper bound (75th percentile),0.13,percentage,% of total assets,
2024,Accommodation,H4400,Medium,Return on total assets,Median (50th percentile),0.03,percentage,% of total assets,
2024,Accommodation,H4400,Medium,Salaries and wages / turnover ratio,Lower bound (25th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Medium,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.21,percentage,% of turnover income,
2024,Accommodation,H4400,Medium,Salaries and wages / turnover ratio,Median (50th percentile),0.11,percentage,% of turnover income,
2024,Accommodation,H4400,Micro,Gross profit ratio,Lower bound (25th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Micro,Gross profit ratio,Upper bound (75th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Micro,Gross profit ratio,Median (50th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Micro,Liability structure,Lower bound (25th percentile),-0.02,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Liability structure,Upper bound (75th percentile),0.85,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Liability structure,Median (50th percentile),0.24,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Lower bound (25th percentile),0.04,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Upper bound (75th percentile),2.53,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Median (50th percentile),0.31,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Lower bound (25th percentile),0.04,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Upper bound (75th percentile),2.67,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Median (50th percentile),0.35,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Micro,Return on equity,Upper bound (75th percentile),0.22,percentage,% of total proprietor or shareholder funds,
