Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,365,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,2570,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1240,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,18595,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,360,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,2815,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,2795,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,2020,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,30270,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 3 certificate,Level 3 Certificate,285,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 4 certificate,Level 4 Certificate,840,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,370,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Bachelor degree,Bachelor Degree,5465,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Graduate diploma/certificate,Graduate Diploma/Certificate,155,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,795,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,790,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,175,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,8775,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,25,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,540,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,15,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,965,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,270,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,80,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,135,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,1995,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,15,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,250,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,30,number,Number of students enrolled,
2024,Chemical sciences,S0105,Bachelor degree,Bachelor Degree,1650,number,Number of students enrolled,
2024,Chemical sciences,S0105,Graduate diploma/certificate,Graduate Diploma/Certificate,20,number,Number of students enrolled,
2024,Chemical sciences,S0105,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,390,number,Number of students enrolled,
2024,Chemical sciences,S0105,Masters degree,Masters Degree,125,number,Number of students enrolled,
2024,Chemical sciences,S0105,Doctorate degree,Doctorate Degree,270,number,Number of students enrolled,
2024,Chemical sciences,S0105,Total people,Total,2730,number,Number of students enrolled,
2024,Earth sciences,S0107,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Earth sciences,S0107,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Earth sciences,S0107,Level 3 certificate,Level 3 Certificate,40,number,Number of students enrolled,
2024,Earth sciences,S0107,Level 4 certificate,Level 4 Certificate,70,number,Number of students enrolled,
2024,Earth sciences,S0107,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,70,number,Number of students enrolled,
2024,Earth sciences,S0107,Bachelor degree,Bachelor Degree,2000,number,Number of students enrolled,
2024,Earth sciences,S0107,Graduate diploma/certificate,Graduate Diploma/Certificate,20,number,Number of students enrolled,
2024,Earth sciences,S0107,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,155,number,Number of students enrolled,
2024,Earth sciences,S0107,Masters degree,Masters Degree,260,number,Number of students enrolled,
2024,Earth sciences,S0107,Doctorate degree,Doctorate Degree,275,number,Number of students enrolled,
2024,Earth sciences,S0107,Total people,Total,2870,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 3 certificate,Level 3 Certificate,50,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,1570,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,625,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,9380,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,85,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,565,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,870,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,890,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,13890,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,35,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,225,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Bachelor degree,Bachelor Degree,1840,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Graduate diploma/certificate,Graduate Diploma/Certificate,90,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,815,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Masters degree,Masters Degree,710,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Doctorate degree,Doctorate Degree,275,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Total people,Total,3970,number,Number of students enrolled,
2024,Information technology,S02,Level 1 certificate,Level 1 Certificate,15,number,Number of students enrolled,
2024,Information technology,S02,Level 2 certificate,Level 2 Certificate,155,number,Number of students enrolled,
2024,Information technology,S02,Level 3 certificate,Level 3 Certificate,65,number,Number of students enrolled,
2024,Information technology,S02,Level 4 certificate,Level 4 Certificate,1005,number,Number of students enrolled,
