Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2015,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,25,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,5,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,30,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,360,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,330,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,40,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,5,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,5,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,5,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,30,number,Number of students enrolled,
