Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,20-24,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,25-39,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,40-*,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Female,total,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,25-39,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Male,total,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,20-24,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,25-39,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,40-*,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 1 certificate,Level 1 Certificate,Domestic,Total,total,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,18-19,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,20-24,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,25-39,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,40-*,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Female,total,10,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,18-19,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,25-39,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Male,total,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,18-19,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,20-24,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,25-39,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,40-*,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Domestic,Total,total,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,*-17,10,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,18-19,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,20-24,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,25-39,25,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,40-*,10,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Female,total,110,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,18-19,40,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,20-24,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,25-39,30,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,40-*,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Male,total,120,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,*-17,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,18-19,75,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,20-24,70,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,25-39,50,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,40-*,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,Total,total,235,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,*-17,55,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,18-19,550,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,20-24,505,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,25-39,430,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,40-*,105,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Female,total,1645,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,18-19,315,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,20-24,255,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,25-39,105,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,40-*,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Male,total,690,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,*-17,60,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,18-19,865,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,20-24,770,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,25-39,535,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 4 certificate,Level 4 Certificate,Domestic,Total,40-*,120,number,Number of students enrolled,
