Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2015,Trainees,"Agriculture, environmental and related studies",S05,16205,number,Number of people,
2016,Trainees,"Agriculture, environmental and related studies",S05,14330,number,Number of people,
2017,Trainees,"Agriculture, environmental and related studies",S05,12615,number,Number of people,
2018,Trainees,"Agriculture, environmental and related studies",S05,9750,number,Number of people,
2019,Trainees,"Agriculture, environmental and related studies",S05,8575,number,Number of people,
2020,Trainees,"Agriculture, environmental and related studies",S05,7920,number,Number of people,
2021,Trainees,"Agriculture, environmental and related studies",S05,9505,number,Number of people,
2022,Trainees,"Agriculture, environmental and related studies",S05,12285,number,Number of people,
2023,Trainees,"Agriculture, environmental and related studies",S05,7695,number,Number of people,
2024,Trainees,"Agriculture, environmental and related studies",S05,6145,number,Number of people,
2015,Trainees,Architecture and building,S04,1080,number,Number of people,
2016,Trainees,Architecture and building,S04,1385,number,Number of people,
2017,Trainees,Architecture and building,S04,1470,number,Number of people,
2018,Trainees,Architecture and building,S04,1585,number,Number of people,
2019,Trainees,Architecture and building,S04,1475,number,Number of people,
2020,Trainees,Architecture and building,S04,2090,number,Number of people,
2021,Trainees,Architecture and building,S04,2945,number,Number of people,
2022,Trainees,Architecture and building,S04,3590,number,Number of people,
2023,Trainees,Architecture and building,S04,3080,number,Number of people,
2024,Trainees,Architecture and building,S04,3870,number,Number of people,
2015,Trainees,Creative arts,S10,30,number,Number of people,
2016,Trainees,Creative arts,S10,20,number,Number of people,
2017,Trainees,Creative arts,S10,10,number,Number of people,
2018,Trainees,Creative arts,S10,55,number,Number of people,
2019,Trainees,Creative arts,S10,75,number,Number of people,
2020,Trainees,Creative arts,S10,220,number,Number of people,
2021,Trainees,Creative arts,S10,160,number,Number of people,
2022,Trainees,Creative arts,S10,95,number,Number of people,
2023,Trainees,Creative arts,S10,65,number,Number of people,
2024,Trainees,Creative arts,S10,150,number,Number of people,
2015,Trainees,Education,S07,920,number,Number of people,
2016,Trainees,Education,S07,875,number,Number of people,
2017,Trainees,Education,S07,725,number,Number of people,
2018,Trainees,Education,S07,625,number,Number of people,
2019,Trainees,Education,S07,515,number,Number of people,
2020,Trainees,Education,S07,480,number,Number of people,
2021,Trainees,Education,S07,395,number,Number of people,
2022,Trainees,Education,S07,305,number,Number of people,
2023,Trainees,Education,S07,315,number,Number of people,
2024,Trainees,Education,S07,140,number,Number of people,
2015,Trainees,Engineering and related technologies,S03,23330,number,Number of people,
2016,Trainees,Engineering and related technologies,S03,22375,number,Number of people,
2017,Trainees,Engineering and related technologies,S03,21500,number,Number of people,
2018,Trainees,Engineering and related technologies,S03,16400,number,Number of people,
2019,Trainees,Engineering and related technologies,S03,15405,number,Number of people,
2020,Trainees,Engineering and related technologies,S03,13555,number,Number of people,
2021,Trainees,Engineering and related technologies,S03,14550,number,Number of people,
2022,Trainees,Engineering and related technologies,S03,18095,number,Number of people,
2023,Trainees,Engineering and related technologies,S03,13020,number,Number of people,
2024,Trainees,Engineering and related technologies,S03,9270,number,Number of people,
2015,Trainees,"Food, hospitality and personal services",S11,11640,number,Number of people,
2016,Trainees,"Food, hospitality and personal services",S11,8920,number,Number of people,
2017,Trainees,"Food, hospitality and personal services",S11,8490,number,Number of people,
2018,Trainees,"Food, hospitality and personal services",S11,9430,number,Number of people,
2019,Trainees,"Food, hospitality and personal services",S11,9065,number,Number of people,
2020,Trainees,"Food, hospitality and personal services",S11,8490,number,Number of people,
2021,Trainees,"Food, hospitality and personal services",S11,7450,number,Number of people,
2022,Trainees,"Food, hospitality and personal services",S11,7215,number,Number of people,
2023,Trainees,"Food, hospitality and personal services",S11,7155,number,Number of people,
2024,Trainees,"Food, hospitality and personal services",S11,6235,number,Number of people,
2015,Trainees,Health,S06,3235,number,Number of people,
2016,Trainees,Health,S06,5620,number,Number of people,
2017,Trainees,Health,S06,5205,number,Number of people,
2018,Trainees,Health,S06,3935,number,Number of people,
2019,Trainees,Health,S06,3130,number,Number of people,
2020,Trainees,Health,S06,2530,number,Number of people,
2021,Trainees,Health,S06,1400,number,Number of people,
2022,Trainees,Health,S06,1220,number,Number of people,
2023,Trainees,Health,S06,1565,number,Number of people,
2024,Trainees,Health,S06,1885,number,Number of people,
2015,Trainees,Management and commerce,S08,18590,number,Number of people,
2016,Trainees,Management and commerce,S08,21745,number,Number of people,
2017,Trainees,Management and commerce,S08,18825,number,Number of people,
2018,Trainees,Management and commerce,S08,15520,number,Number of people,
2019,Trainees,Management and commerce,S08,13890,number,Number of people,
2020,Trainees,Management and commerce,S08,11585,number,Number of people,
2021,Trainees,Management and commerce,S08,10520,number,Number of people,
2022,Trainees,Management and commerce,S08,9170,number,Number of people,
2023,Trainees,Management and commerce,S08,8265,number,Number of people,
2024,Trainees,Management and commerce,S08,6595,number,Number of people,
2015,Trainees,Mixed field programmes,S12,315,number,Number of people,
2016,Trainees,Mixed field programmes,S12,5,number,Number of people,
2017,Trainees,Mixed field programmes,S12,5,number,Number of people,
2018,Trainees,Mixed field programmes,S12,0,number,Number of people,
2019,Trainees,Mixed field programmes,S12,0,number,Number of people,
