Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2009,Apprentices,Adult Education,20,number,Number of people,
2010,Apprentices,Adult Education,5,number,Number of people,
2011,Apprentices,Adult Education,120,number,Number of people,
2012,Apprentices,Adult Education,60,number,Number of people,
2013,Apprentices,Adult Education,60,number,Number of people,
2014,Apprentices,Adult Education,80,number,Number of people,
2015,Apprentices,Adult Education,75,number,Number of people,
2016,Apprentices,Adult Education,90,number,Number of people,
2017,Apprentices,Adult Education,85,number,Number of people,
2018,Apprentices,Adult Education,70,number,Number of people,
2009,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,775,number,Number of people,
2010,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,835,number,Number of people,
2011,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,715,number,Number of people,
2012,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,740,number,Number of people,
2013,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,635,number,Number of people,
2014,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,790,number,Number of people,
2015,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,705,number,Number of people,
2016,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,605,number,Number of people,
2017,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,540,number,Number of people,
2018,Apprentices,Aeronautical Engineers & Aircraft Maintenance Engineers,460,number,Number of people,
2009,Apprentices,Agricultural Professionals,1405,number,Number of people,
2010,Apprentices,Agricultural Professionals,1490,number,Number of people,
2011,Apprentices,Agricultural Professionals,1485,number,Number of people,
2012,Apprentices,Agricultural Professionals,1805,number,Number of people,
2013,Apprentices,Agricultural Professionals,2200,number,Number of people,
2014,Apprentices,Agricultural Professionals,2755,number,Number of people,
2015,Apprentices,Agricultural Professionals,2290,number,Number of people,
2016,Apprentices,Agricultural Professionals,2465,number,Number of people,
2017,Apprentices,Agricultural Professionals,2705,number,Number of people,
2018,Apprentices,Agricultural Professionals,2655,number,Number of people,
2009,Apprentices,Ambulance Professionals,2395,number,Number of people,
2010,Apprentices,Ambulance Professionals,1025,number,Number of people,
2011,Apprentices,Ambulance Professionals,915,number,Number of people,
2012,Apprentices,Ambulance Professionals,890,number,Number of people,
2013,Apprentices,Ambulance Professionals,905,number,Number of people,
2014,Apprentices,Ambulance Professionals,655,number,Number of people,
2015,Apprentices,Ambulance Professionals,695,number,Number of people,
2016,Apprentices,Ambulance Professionals,595,number,Number of people,
2017,Apprentices,Ambulance Professionals,515,number,Number of people,
2018,Apprentices,Ambulance Professionals,310,number,Number of people,
