Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Total,Total,15663,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Gender,Male,6296,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Gender,Female,9278,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,18-24,1752,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,25-34,1769,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,35-49,5440,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,50-64,4027,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,65-74,1568,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Age group,75+,1107,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,European,13111,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Māori,1539,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Pacific Peoples,615,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Asian,1257,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Samoan,289,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Indian,335,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Ethnic group,Chinese,448,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Studying (no children),776,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Young adults with no children,2195,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Younger families (all children under 12),2012,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Older families with children aged 12 to 17,2336,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Middle-aged adults with no children under 18,5916,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Younger retirees (Under 75),1276,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Older retirees (aged 75+),1012,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Studying or young with no children,2971,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Younger or older families,4348,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Younger or older families or middle aged adults,10264,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Lifestages,Retirees,2288,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Neighbourhood deprivation,Low,5386,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Neighbourhood deprivation,Medium,6477,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Neighbourhood deprivation,High,3799,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Disability status,Disabled,8458,number,Number of respondents,,"When any of the above statements is rated 'Yes, some difficulty', 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Disability status,Non-disabled,7173,number,Number of respondents,,"When all of the above statements are rated 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Disability status,"Disabled (rated 'Yes, a lot of difficulty' or 'Cannot do at all')",1452,number,Number of respondents,,"When any of the above statements is rated 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Disability status,"Non-disabled (rated 'Yes, some difficulty' or 'No, no difficulty')",14179,number,Number of respondents,,"When all of the above statements are rated 'Yes, some difficulty' or 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Participation in physical activities in the last 7 days,Participated last 7 days,11712,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Participation in physical activities in the last 7 days,Not participated last 7 days,3951,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,Less than 30 minutes in last 7 days,4093,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,30-149 minutes in last 7 days,2186,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,150 to 419 minutes in last 7 days,5638,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,420 minutes in last 7 days,3746,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,Less than 150 minutes in the last 7 days,6279,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Time spent participating in physical activities in the last 7 days,150 minutes or more in the last 7 days,9384,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Physical activity guidelines,Meet guidelines,9384,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Physical activity guidelines,Did not meet guidelines,6279,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Northland,472,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Auckland combined,3728,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,North Harbour,894,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Auckland,1277,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Counties Manukau,1056,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Waitakere,501,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Waikato,1268,number,Number of respondents,
2023,Which of the following have you done in the last 7 days?,Average number of sports and activities (including non-participants),Ethnic group,Māori,2,number,Number of sports and activities,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Bay of Plenty,933,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Gisborne,330,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Taranaki,537,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Whanganui,475,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Hawkes Bay,521,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Manawatu,601,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Wellington,2176,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 18+),Region,Tasman,673,number,Number of respondents,
