Year as at February,Industry,Industry Code,Measure,Value,Value Unit,Value Label,Null Reason
2000,Beef cattle farming (specialised),A0142,Employee count,2850,number,Number of employees,
2000,Coal mining,B0600,Enterprises,24,number,Number of enterprises,
2000,Other wood product manufacturing,C149,Enterprises,1626,number,Number of enterprises,
2000,Other polymer product manufacturing,C1919,Employee count,2800,number,Number of employees,
2000,Other fabricated metal product manufacturing n.e.c.,C2299,Enterprises,1134,number,Number of enterprises,
2000,Furniture and other manufacturing,C25,Enterprises,2844,number,Number of enterprises,
2000,Glazing services,E3245,Employee count,800,number,Number of employees,
2000,Textile product wholesaling,F3711,Enterprises,294,number,Number of enterprises,
2000,Port and water transport terminal operations,I5212,Employee count,2150,number,Number of employees,
2000,Cable and other subscription broadcasting,J5622,Employee count,550,number,Number of employees,
2000,"Rental, hiring and real estate services",L,Employee count,20900,number,Number of employees,
2000,Non-residential property operators,L6712,Enterprises,36639,number,Number of enterprises,
2000,Other social assistance services,Q8790,Employee count,13500,number,Number of employees,
2000,Brothel keeping and prostitution services,S9534,Enterprises,78,number,Number of enterprises,
2001,Other crop growing n.e.c.,A0159,Enterprises,399,number,Number of enterprises,
2001,Textile floor covering manufacturing,C1331,Employee count,1250,number,Number of employees,
2001,Pesticide manufacturing,C1832,Enterprises,9,number,Number of enterprises,
2001,Solid waste collection services,D2911,Employee count,1100,number,Number of employees,
2001,"Waste treatment, disposal and remediation services",D292,Employee count,1550,number,Number of employees,
2001,Other store-based retailing n.e.c.,G4279,Employee count,7400,number,Number of employees,
2001,Public administration,O75,Employee count,48300,number,Number of employees,
2001,Heritage activities,R89,Enterprises,213,number,Number of enterprises,
2001,Other repair and maintenance,S949,Employee count,700,number,Number of employees,
2002,Basic non-ferrous metal product manufacturing,C214,Employee count,2200,number,Number of employees,
2002,Metal coating and finishing,C2293,Employee count,1500,number,Number of employees,
2002,Machinery and equipment manufacturing,C24,Employee count,27100,number,Number of employees,
2002,Sport and camping equipment retailing,G4241,Enterprises,792,number,Number of enterprises,
2002,Broadcasting (except Internet),J56,Enterprises,168,number,Number of enterprises,
2002,Property operators,L671,Employee count,5300,number,Number of employees,
2002,Accounting services,M6932,Enterprises,3447,number,Number of enterprises,
2002,Parking services,S9533,Employee count,420,number,Number of employees,
2003,Longline and rack (offshore) aquaculture,A0201,Enterprises,273,number,Number of enterprises,
2003,Agriculture and fishing support services,A052,Employee count,16500,number,Number of employees,
2003,Fertiliser manufacturing,C1831,Employee count,1550,number,Number of employees,
2003,Non-ferrous metal casting,C2141,Enterprises,36,number,Number of enterprises,
2003,Land development and subdivision,E3211,Employee count,630,number,Number of employees,
2003,Petroleum product wholesaling,F3321,Employee count,600,number,Number of employees,
2003,Telecommunication goods wholesaling,F3493,Enterprises,153,number,Number of enterprises,
2003,Book and magazine wholesaling,F3735,Enterprises,159,number,Number of enterprises,
2003,Other warehousing and storage services,I5309,Employee count,2950,number,Number of employees,
2003,Life insurance,K6310,Enterprises,39,number,Number of enterprises,
2003,Hospitals (except psychiatric hospitals),Q8401,Employee count,64000,number,Number of employees,
2003,Health and fitness centres and gymnasia operation,R9111,Employee count,3000,number,Number of employees,
2003,Other services,S,Employee count,58200,number,Number of employees,
2004,Nursery and floriculture production,A011,Enterprises,2160,number,Number of enterprises,
2004,Berry fruit growing,A0133,Enterprises,270,number,Number of enterprises,
2004,Bakery product manufacturing (non-factory based),C1174,Employee count,5200,number,Number of employees,
2004,Log sawmilling,C1411,Employee count,8700,number,Number of employees,
2004,Paper bag manufacturing,C1522,Enterprises,0,number,Number of enterprises,
2004,Other basic chemical product manufacturing n.e.c.,C1899,Enterprises,48,number,Number of enterprises,
2004,Metal furniture manufacturing,C2512,Employee count,1500,number,Number of employees,
2004,Construction,E,Enterprises,44835,number,Number of enterprises,
2004,Air conditioning and heating services,E3233,Enterprises,567,number,Number of enterprises,
2004,Garden supplies retailing,G4232,Employee count,2300,number,Number of employees,
2004,"Pubs, taverns and bars",H4520,Employee count,15200,number,Number of employees,
2004,Road passenger transport,I462,Enterprises,3138,number,Number of enterprises,
2004,Motion picture and sound recording activities,J55,Employee count,3700,number,Number of employees,
2004,Central government administration,O7510,Employee count,29100,number,Number of employees,
2005,Mineral sand mining,B0805,Employee count,0,number,Number of employees,
2005,Non-metallic mineral mining and quarrying,B09,Employee count,1250,number,Number of employees,
2005,Chemical manufacturing,C181,Employee count,1000,number,Number of employees,
2005,Electric cable and wire manufacturing,C2431,Enterprises,9,number,Number of enterprises,
2005,Electricity generation,D261,Enterprises,36,number,Number of enterprises,
2005,Food retailing,G41,Enterprises,5448,number,Number of enterprises,
2005,Auxiliary finance and insurance services,K64,Enterprises,4887,number,Number of enterprises,
2005,Management and related consulting services,M696,Employee count,20500,number,Number of employees,
2005,"Other professional, scientific and technical services n.e.c.",M6999,Enterprises,291,number,Number of enterprises,
2006,Line fishing,A0413,Enterprises,489,number,Number of enterprises,
2006,Glass and glass product manufacturing,C2010,Enterprises,147,number,Number of enterprises,
2006,"Electricity, gas, water and waste services",D,Employee count,11000,number,Number of employees,
2006,Electrical services,E3232,Employee count,11800,number,Number of employees,
2006,Motor vehicle dismantling and used parts wholesaling,F3505,Enterprises,429,number,Number of enterprises,
2006,Water passenger transport,I4820,Employee count,390,number,Number of employees,
2006,Wired telecommunications network operation,J5801,Enterprises,60,number,Number of enterprises,
2006,Passenger car rental and hiring,L6611,Enterprises,1959,number,Number of enterprises,
2006,Physiotherapy services,Q8533,Employee count,1450,number,Number of employees,
2006,Clothing and footwear repair,S9491,Enterprises,99,number,Number of enterprises,
2007,Beef cattle farming (specialised),A0142,Enterprises,11826,number,Number of enterprises,
