Year,Training type,Grouping variable,Category,Occupation,Value,Value Unit,Value Label,Null Reason
2018,Trainees,Ethnic group,European,Abrasive Blaster & Protective Coater Professionals,10,number,Number of people,
2018,Trainees,Ethnic group,Māori,Abrasive Blaster & Protective Coater Professionals,5,number,Number of people,
2018,Trainees,Ethnic group,Pacific Peoples,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Ethnic group,Asian,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Ethnic group,MELAA,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Ethnic group,Other,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Ethnic group,Total,Abrasive Blaster & Protective Coater Professionals,10,number,Number of people,
2018,Trainees,Gender,Male,Abrasive Blaster & Protective Coater Professionals,10,number,Number of people,
2018,Trainees,Gender,Female,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Age group,*-19,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Age group,20-29,Abrasive Blaster & Protective Coater Professionals,5,number,Number of people,
2018,Trainees,Age group,30-39,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Age group,40-49,Abrasive Blaster & Protective Coater Professionals,5,number,Number of people,
2018,Trainees,Age group,50+,Abrasive Blaster & Protective Coater Professionals,0,number,Number of people,
2018,Trainees,Ethnic group,European,Adult Education,430,number,Number of people,
2018,Trainees,Ethnic group,Māori,Adult Education,160,number,Number of people,
2018,Trainees,Ethnic group,Pacific Peoples,Adult Education,45,number,Number of people,
2018,Trainees,Ethnic group,Asian,Adult Education,30,number,Number of people,
2018,Trainees,Ethnic group,MELAA,Adult Education,10,number,Number of people,
2018,Trainees,Ethnic group,Other,Adult Education,15,number,Number of people,
2018,Trainees,Ethnic group,Total,Adult Education,650,number,Number of people,
2018,Trainees,Gender,Male,Adult Education,390,number,Number of people,
2018,Trainees,Gender,Female,Adult Education,260,number,Number of people,
2018,Trainees,Age group,*-19,Adult Education,5,number,Number of people,
2018,Trainees,Age group,20-29,Adult Education,260,number,Number of people,
2018,Trainees,Age group,30-39,Adult Education,160,number,Number of people,
2018,Trainees,Age group,40-49,Adult Education,120,number,Number of people,
2018,Trainees,Age group,50+,Adult Education,105,number,Number of people,
2018,Trainees,Ethnic group,European,Aeronautical Engineers & Aircraft Maintenance Engineers,210,number,Number of people,
2018,Trainees,Ethnic group,Māori,Aeronautical Engineers & Aircraft Maintenance Engineers,20,number,Number of people,
2018,Trainees,Ethnic group,Pacific Peoples,Aeronautical Engineers & Aircraft Maintenance Engineers,10,number,Number of people,
2018,Trainees,Ethnic group,Asian,Aeronautical Engineers & Aircraft Maintenance Engineers,5,number,Number of people,
2018,Trainees,Ethnic group,MELAA,Aeronautical Engineers & Aircraft Maintenance Engineers,0,number,Number of people,
2018,Trainees,Ethnic group,Other,Aeronautical Engineers & Aircraft Maintenance Engineers,15,number,Number of people,
2018,Trainees,Ethnic group,Total,Aeronautical Engineers & Aircraft Maintenance Engineers,245,number,Number of people,
2018,Trainees,Gender,Male,Aeronautical Engineers & Aircraft Maintenance Engineers,225,number,Number of people,
2018,Trainees,Gender,Female,Aeronautical Engineers & Aircraft Maintenance Engineers,20,number,Number of people,
2018,Trainees,Age group,*-19,Aeronautical Engineers & Aircraft Maintenance Engineers,10,number,Number of people,
2018,Trainees,Age group,20-29,Aeronautical Engineers & Aircraft Maintenance Engineers,150,number,Number of people,
2018,Trainees,Age group,30-39,Aeronautical Engineers & Aircraft Maintenance Engineers,45,number,Number of people,
2018,Trainees,Age group,40-49,Aeronautical Engineers & Aircraft Maintenance Engineers,30,number,Number of people,
2018,Trainees,Age group,50+,Aeronautical Engineers & Aircraft Maintenance Engineers,10,number,Number of people,
