Year,Training type,Grouping variable,Category,Occupation,Value,Value Unit,Value Label,Null Reason
2018,Apprentices,Ethnic group,European,Adult Education,55,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Adult Education,5,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Adult Education,5,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Adult Education,5,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Adult Education,0,number,Number of people,
2018,Apprentices,Ethnic group,Other,Adult Education,5,number,Number of people,
2018,Apprentices,Ethnic group,Total,Adult Education,70,number,Number of people,
2018,Apprentices,Gender,Male,Adult Education,45,number,Number of people,
2018,Apprentices,Gender,Female,Adult Education,20,number,Number of people,
2018,Apprentices,Age group,*-19,Adult Education,0,number,Number of people,
2018,Apprentices,Age group,20-29,Adult Education,40,number,Number of people,
2018,Apprentices,Age group,30-39,Adult Education,20,number,Number of people,
2018,Apprentices,Age group,40-49,Adult Education,5,number,Number of people,
2018,Apprentices,Age group,50+,Adult Education,5,number,Number of people,
2018,Apprentices,Ethnic group,European,Aeronautical Engineers & Aircraft Maintenance Engineers,395,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Aeronautical Engineers & Aircraft Maintenance Engineers,30,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Aeronautical Engineers & Aircraft Maintenance Engineers,10,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Aeronautical Engineers & Aircraft Maintenance Engineers,25,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Aeronautical Engineers & Aircraft Maintenance Engineers,5,number,Number of people,
2018,Apprentices,Ethnic group,Other,Aeronautical Engineers & Aircraft Maintenance Engineers,15,number,Number of people,
2018,Apprentices,Ethnic group,Total,Aeronautical Engineers & Aircraft Maintenance Engineers,460,number,Number of people,
2018,Apprentices,Gender,Male,Aeronautical Engineers & Aircraft Maintenance Engineers,435,number,Number of people,
2018,Apprentices,Gender,Female,Aeronautical Engineers & Aircraft Maintenance Engineers,25,number,Number of people,
2018,Apprentices,Age group,*-19,Aeronautical Engineers & Aircraft Maintenance Engineers,10,number,Number of people,
2018,Apprentices,Age group,20-29,Aeronautical Engineers & Aircraft Maintenance Engineers,225,number,Number of people,
2018,Apprentices,Age group,30-39,Aeronautical Engineers & Aircraft Maintenance Engineers,100,number,Number of people,
2018,Apprentices,Age group,40-49,Aeronautical Engineers & Aircraft Maintenance Engineers,80,number,Number of people,
2018,Apprentices,Age group,50+,Aeronautical Engineers & Aircraft Maintenance Engineers,50,number,Number of people,
2018,Apprentices,Ethnic group,European,Agricultural Professionals,1275,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Agricultural Professionals,280,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Agricultural Professionals,55,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Agricultural Professionals,765,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Agricultural Professionals,100,number,Number of people,
2018,Apprentices,Ethnic group,Other,Agricultural Professionals,120,number,Number of people,
2018,Apprentices,Ethnic group,Total,Agricultural Professionals,2655,number,Number of people,
2018,Apprentices,Gender,Male,Agricultural Professionals,2220,number,Number of people,
2018,Apprentices,Gender,Female,Agricultural Professionals,435,number,Number of people,
2018,Apprentices,Age group,*-19,Agricultural Professionals,90,number,Number of people,
2018,Apprentices,Age group,20-29,Agricultural Professionals,1255,number,Number of people,
2018,Apprentices,Age group,30-39,Agricultural Professionals,880,number,Number of people,
2018,Apprentices,Age group,40-49,Agricultural Professionals,365,number,Number of people,
2018,Apprentices,Age group,50+,Agricultural Professionals,70,number,Number of people,
2018,Apprentices,Ethnic group,European,Ambulance Professionals,175,number,Number of people,
2018,Apprentices,Ethnic group,Māori,Ambulance Professionals,20,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,Ambulance Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,Ambulance Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,Ambulance Professionals,0,number,Number of people,
2018,Apprentices,Ethnic group,Other,Ambulance Professionals,5,number,Number of people,
2018,Apprentices,Ethnic group,Total,Ambulance Professionals,310,number,Number of people,
2018,Apprentices,Gender,Male,Ambulance Professionals,130,number,Number of people,
2018,Apprentices,Gender,Female,Ambulance Professionals,180,number,Number of people,
2018,Apprentices,Age group,*-19,Ambulance Professionals,0,number,Number of people,
2018,Apprentices,Age group,20-29,Ambulance Professionals,95,number,Number of people,
2018,Apprentices,Age group,30-39,Ambulance Professionals,75,number,Number of people,
2018,Apprentices,Age group,40-49,Ambulance Professionals,75,number,Number of people,
2018,Apprentices,Age group,50+,Ambulance Professionals,65,number,Number of people,
2018,Apprentices,Ethnic group,European,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
