Year,Measure,Category,Disability status,Age group,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,People who have been away on holidays in last 12 months,Total,Disabled,5-*,Percent,50,percentage,% of people aged 5+,
2023,People who have been away on holidays in last 12 months,Total,Disabled,5-*,Absolute sampling error (percentage),2.2,percentage,% of people aged 5+,
2023,People who have been away on holidays in last 12 months,Total,Disabled,5-*,Number,416,number,Thousands of people,
2023,People who have been away on holidays in last 12 months,Total,Disabled,5-*,Absolute sampling error (number),22,number,Thousands of people,
2023,People who have been away on holidays in last 12 months,Total,Non-disabled,5-*,Percent,72,percentage,% of people aged 5+,
2023,People who have been away on holidays in last 12 months,Total,Non-disabled,5-*,Absolute sampling error (percentage),1,percentage,% of people aged 5+,
2023,People who have been away on holidays in last 12 months,Total,Non-disabled,5-*,Number,2852,number,Thousands of people,
2023,People who have been away on holidays in last 12 months,Total,Non-disabled,5-*,Absolute sampling error (number),45,number,Thousands of people,
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Disabled,5-*,Percent,58,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Disabled,5-*,Absolute sampling error (percentage),2.2,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Disabled,5-*,Number,481,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Disabled,5-*,Absolute sampling error (number),25,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Non-disabled,5-*,Percent,82,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Non-disabled,5-*,Absolute sampling error (percentage),0.7,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Non-disabled,5-*,Number,3271,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Played sport or done any other physical exercise,Non-disabled,5-*,Absolute sampling error (number),37,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Disabled,5-*,Percent,67,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Disabled,5-*,Absolute sampling error (percentage),2,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Disabled,5-*,Number,553,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Disabled,5-*,Absolute sampling error (number),26,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Non-disabled,5-*,Percent,84,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Non-disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Non-disabled,5-*,Number,3342,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an outdoor area such as a beach, park, or nature reserve",Non-disabled,5-*,Absolute sampling error (number),41,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Disabled,5-*,Percent,32,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Disabled,5-*,Absolute sampling error (percentage),1.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Disabled,5-*,Number,264,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Disabled,5-*,Absolute sampling error (number),18,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
