Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Total,Total,Percentage that volunteered over previous four weeks,Through an Organisation,30.2,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Directly,36,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Total that volunteered,50.7,percentage,% of people within group,
2021,Total,Total,Percentage that volunteered over previous four weeks,Total that did not volunteer,49.3,percentage,% of people within group,
2021,Total,Total,Total hours volunteered over previous four weeks,Through an Organisation,19006.7,number,Thousands of hours,
2021,Total,Total,Total hours volunteered over previous four weeks,Directly,16780.5,number,Thousands of hours,
2021,Total,Total,Total hours volunteered over previous four weeks,Total that volunteered,35787.2,number,Thousands of hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Through an Organisation,15.9,number,Hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Directly,11.8,number,Hours,
2021,Total,Total,Average hours volunteered for previous four weeks,Total that volunteered,17.9,number,Hours,
2021,Total,Total,Percentage of volunteers by number of hours contributed,Less than 5 hours,34,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,5 to 10 hours,17.9,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,10 to 15 hours,15,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,15 to 20 hours,6.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,20 to 25 hours,7.8,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by number of hours contributed,25+ hours,19,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,4.9,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,9.5,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,5.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,9.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of total volunteer hours by number of hours contributed,25+ hours,64.2,percentage,% of people who volunteered,
2021,Total,Total,Number of people by number of hours contributed,Less than 5 hours,680.3,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,5 to 10 hours,358.9,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,10 to 15 hours,299.6,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,15 to 20 hours,125,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,20 to 25 hours,155.7,number,Thousands of hours,
2021,Total,Total,Number of people by number of hours contributed,25+ hours,380.9,number,Thousands of hours,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",12.2,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Sports or recreation,33.6,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",17.5,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Religious or spiritual,27,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",10.3,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",16.3,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",11.1,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.7,percentage,% of people who volunteered,
2021,Total,Total,Percentage of volunteers by type of organisation - over previous four weeks,Other,6.8,percentage,% of people who volunteered,
