OBJECTID,Reference,Category,Location,TotalArea,Playground,Reserve_Name,DisplayOrder,Image,Shape__Area,Shape__Length
1,SR12,SportRecreation,Flaxmere,8.6679,No,Ron Giorgi Park II,1,Yes,86841.525390625,1302.86378179281
2,SR13,SportRecreation,Flaxmere,6.2590,Yes,Ron Giorgi Park III,1,Yes,62694.0439453125,1163.04634481188
3,C03,Community,Flaxmere,0.3062,No,Cartier Crescent Reserve,2,Yes,3067.822265625,228.90610979785
4,C06,Community,Flaxmere,0.2481,No,Diaz Drive Reserve,2,No,2486.0322265625,204.824494355543
5,L38,LinkageUrban,Flaxmere,0.2681,No,Flaxmere Avenue Reserve,8,Yes,2685.01171875,281.098309873236
6,C20,Community,Flaxmere,0.0827,No,Kilkee Reserve,2,No,829.2236328125,113.684430995125
7,C21,Community,Flaxmere,3.9592,Yes,Kingsley Park,2,Yes,39662.76171875,909.827313925734
8,L46,LinkageUrban,Flaxmere,0.1046,No,Kirkwood Road Reserve,8,No,1048.7666015625,159.711919926238
9,C22,Community,Flaxmere,1.7269,Yes,Len Harlen Park,2,Yes,17302.94140625,635.684764150918
10,C23,Community,Flaxmere,3.3757,No,Lochain Park,2,Yes,33818.576171875,988.990244831633
11,C28,Community,Flaxmere,0.1178,Yes,Nanny Kona Park,2,No,1174.3505859375,165.023259145541
12,OS17,OpenSpaceMaintained,Flaxmere,0.7234,No,Ramsey Crescent Reserve,4,Yes,7248.3857421875,1243.75558446809
13,C39,Community,Flaxmere,0.8851,Yes,Ron Giorgi Park I,2,No,8868.2763671875,391.03285476416
14,OS22,OpenSpaceMaintained,Flaxmere,1.0220,No,Walton Way Reserve,4,No,10238.7490234375,415.233260589068
15,OS06,OpenSpaceMaintained,Flaxmere,4.4788,No,Flaxmere Avenue Roundoff,4,Yes,43226.802734375,2214.20025809334
16,SR04,SportRecreation,Flaxmere,9.9542,Yes,Chatham Park,1,Yes,99577.6318359375,1384.18918053242
17,SR06,SportRecreation,Flaxmere,16.7855,Yes,Flaxmere Park,1,Yes,168211.887695312,2125.01613699325
18,L36,LinkageUrban,Flaxmere,0.5653,No,Chatham Road Reserves,8,No,5664.6875,457.561718968447
19,L41,LinkageUrban,Flaxmere,0.7386,No,Henderson Road Reserves,8,No,7400.6181640625,553.358014242398
20,C17,Community,Flaxmere,1.7732,Yes,Hugh Little Park,2,Yes,17763.90234375,551.358253550459
21,C24,Community,Flaxmere,0.1498,No,Margate Avenue Reserve,2,No,1501.123046875,164.927422973857
22,C25,Community,Flaxmere,0.3821,No,Margate Place Reserve,2,Yes,3827.76953125,245.434835886523
23,L51,LinkageUrban,Flaxmere,0.0731,No,Peterhead/Swansea Road Reserve,8,No,732.81640625,106.596966444433
24,C34,Community,Flaxmere,0.0798,No,Poole Street Reserve,2,No,799.685546875,112.866763426608
25,C41,Community,Flaxmere,0.1880,Yes,Sunderland Drive Reserve,2,Yes,1880.78125,178.15606194776
