RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,UNITID,COMPKEY,COMPTYPE,Managed,Owner,Hectares,In_Parks_Maintenance_Contract,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
Te Mārua Hill Reserve,Te Mārua Hill Reserve,Nature Reserve,1,TEMARUA-RESERVE,88897,18,Yes,UHCC,2.39902264,Yes,{E0A6305A-F8BA-412D-95B4-9E1F1C4B0F7D},,,,,23990.07462598,645.297034462892
Birchville Beech Reserve,Birchville Beech Reserve,Nature Reserve,2,BIRCHVILLE-RESERVE,88063,18,Yes,UHCC,0.7450993,Yes,{1468C5D3-1397-44C3-B878-BA5A1B80E032},,,,,7468.39413448,491.792616384807
Upper Plateau Scenic Reserve,Upper Plateau Scenic Reserve,Nature Reserve,3,PLATEAU-SCENIC,89281,18,Yes,UHCC,1.77719857,Yes,{E3387792-E8B5-4A9F-9855-3B0387030E98},,,,,17771.96974378,673.314696450419
Silverstream Amenity Reserve,Silverstream Amenity Reserve,Neighbourhood Park,4,SILVRAMENITY-RESERV,88013,18,Yes,UHCC,0.7681968,Yes,{D9D996AA-F762-4CD1-9DDB-A53DFCF8283D},,,,,7681.13637625,450.429438522106
Pioneer Reserve,Pioneer Reserve,Nature Reserve,5,PIONEER-RESERVE,89285,18,Yes,UHCC,0.50618449,Yes,{32E06C35-72F8-484C-AA11-7937D5E56F11},,,,,5061.332607905,486.354801781576
Fendalton Reserve,Fendalton Reserve,Nature Reserve,6,FENDALTON-RESERVE,88124,18,Yes,UHCC,1.24288503,Yes,{B29AFBB1-4DAB-4513-A9F8-49F7E0B35CD2},,,,,12427.626406895,562.34625929736
Avian Park,Avian Park,Neighbourhood Park,7,AVIAN-PARK,87831,18,Yes,UHCC,0.09229525,Yes,{E668844E-850E-4FF0-B82D-024796F4F231},,,,,922.87544079,146.149896251902
Riverstone Bush Reserve,Riverstone Bush Reserve,Nature Reserve,8,RIVERSTONE-GULLY,87883,18,Yes,UHCC,6.46758987,Yes,{B491DC2B-B690-4CCE-8771-24C14271BC29},,,,,64670.948931695,2337.12435434641
Silverstream Spur Reserve,Silverstream Spur Reserve,Nature Reserve,9,SILVSPUR-RESERVE,89294,18,Yes,UHCC,35.2079231,No,{E52BEDD6-8EB0-4D53-91A5-662800620621},,,,,352046.375785815,2487.70764533029
Emerald Hill Reserve,Emerald Hill Reserve,Nature Reserve,10,EMERALDHILL-RESERVE,88408,18,Yes,UHCC,8.65972086,Yes,{B002CEE9-F21D-4BCA-A104-99DDBBD12855},,,,,83980.19192704,1673.62080961493
Benge Hall Reserve,Benge Hall Reserve,Neighbourhood Park,11,BENGEHALL-RESERVE,88160,18,Yes,UHCC,1.23836721,Yes,{445248B3-2E8A-476A-8E1B-FB75E73C472C},,,,,12383.343601095,492.88161461712
Collins Creek Reserve,Collins Creek Reserve,Nature Reserve,13,COLLINSCRK-RESERVE,88898,18,Yes,UHCC,1.99345278,Yes,{E8EF8C5B-7FC9-462B-AF8B-0CCAB196E058},,,,,19934.26277609,924.803649587957
Gentian Park,Gentian Park,Nature Reserve,14,GENTIAN-PARK,88411,18,Yes,UHCC,4.69084718,Yes,{7CCC4E61-79E2-4AF9-B0CB-7D4D1517B0A0},,,,,46907.205406785,1041.93360636396
Kurth Crescent Reserve,Kurth Crescent Reserve,Nature Reserve,15,KURTH-PARK,88095,18,Yes,UHCC,1.19444446,Yes,{AED8055F-9029-4F90-8F7B-19434D2CAB33},,,,,11943.237704745,649.852594926575
Pinehill Reserve,Pinehill Reserve,Neighbourhood Park,16,PINEHILL-PARK,87524,18,Yes,UHCC,0.36636787,Yes,{C9D4A686-2FE4-400C-A72E-5482337B8CDB},,,,,3663.36362309,326.852830563388
Remutaka Hill Reserve,Remutaka Hill Reserve,Nature Reserve,18,RIMUTAKA-RESERVE,89295,18,Yes,UHCC,0.1886927,No,{5ACAEA54-1C2F-49D4-B816-A4DD376465F9},,,,,1887.01423347,375.52610956712
Craigs Flat Reserve,Craigs Flat Reserve,Community Park,21,CRAIGSFLAT-PARK,87849,18,Yes,UHCC,1.24476487,Yes,{95031136-63B4-4185-81FA-38F28B6DE685},,,,,12446.67775808,709.879777659879
Southern Hills Ridgeline Reserve,Southern Hills Ridgeline Reserve,Nature Reserve,22,STHRN HILL-RESERVE,89298,18,Yes,UHCC,30.7637338,No,{240F47A1-DF47-46E8-8501-4AC652332B39},,,,,307613.912988585,6599.73579908963
Karapoti Reserve,Karapoti Reserve,Community Park,24,KARAPOTI-RESERVE,89297,18,Yes,UHCC,6.03997334,Yes,{034CCEA5-735E-4174-8862-CF932550A158},,,,,60398.150630855,3435.98438415451
Pinehaven Library Reserve,Pinehaven Library Reserve,Community Park,25,PINELIB-PARK,87741,18,Yes,UHCC,0.16393111,Yes,{599A0885-7537-4AEE-A6CD-C2E9C72ECE76},,,,,1639.15081661,159.938783124944
Speargrass Reserve,Speargrass Reserve,Neighbourhood Park,26,SPEARGRASS-RESERVE,88483,18,Yes,UHCC,0.19491129,Yes,{4CB68BD4-7C19-4635-9407-71540D966455},,,,,1949.049252635,184.416614526355
Edmund Lomas Park,Edmund Lomas Park,Neighbourhood Park,27,EDMUNDLOMAS-PARK,88138,18,Yes,UHCC,0.55359913,Yes,{FACC2622-901B-47C0-A193-35BD3C7E3C66},,,,,5535.82815683,362.729475367185
Rātā Park,Rātā Park,Neighbourhood Park,28,RATA-PARK,88064,18,Yes,UHCC,3.4832341,Yes,{D1CF4C24-0683-4388-BDC5-F37FA6E16585},,,,,34831.099781955,1222.0262918192
