X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,NeedsChecking,SubType,PopUp,created_user,created_date,last_edited_user,last_edited_date,Shape
1772590.207,5444760.728,1,,Ward/Miro Green Area,{8C9EA6FD-E727-44FF-B1D0-7CAC0B36D3F0},Playground,,,,Playground,,,LCARTER,2023/11/16 00:12:19+00,
1770560.8256,5444568.165,2,,Trentham Memorial Park,{066640DF-330C-4FD9-9F31-4790D6E13564},Playground,,,,Playground,,,,,
1771100.8334,5444095.2931,3,,Tawai Park,{C25C4ECA-9926-48F5-8FBF-EC4554859A31},Playground,,,,Playground,,,,,
1768986.5515,5442743.496,4,,Silverstream Park,{AAB34E5B-8F4A-442F-8206-135C7E730AA2},Playground,,,,Playground,,,,,
1774881.2672,5446214.7822,5,,Benge Park,{2B121631-8C68-4C4B-8975-B93FF45B350B},Playground,,,,Playground,,,,,
1777203.4577,5448339.4987,6,,Birchville Park,{0EA61E1E-F079-4AE9-9DB8-283A20D203E2},Playground,,,,Playground,,,,,
1771225.1455,5446393.0304,7,,Craigs Flat Reserve,{77E40B18-43E2-4DF0-9039-F019817B0A9A},Playground,,,,Playground,,,,,
1769040.8451,5443593.9077,8,,Heretaunga Park,{270CF788-42DA-44FE-9F07-D3876BAC4164},Playground,,,,Playground,,,,,
1776019.4567,5446892.8003,9,,Te Haukāretu Park,{D9F4A16C-B191-4513-BC58-EBD281235466},Playground,,,,Playground,,,,,
1779037.5252,5448609.0805,10,,Plateau Road Play Area,{45BE9009-C977-4404-B30A-D0A9B2600773},Playground,,,,Playground,,,,,
1780315.4961,5448232.923,11,,Upper Plateu Park,{FBDBD98E-BF41-4865-933F-973592B0E612},Playground,,,,Playground,,,,,
1776395.4416,5448736.734,12,,Rātā Park,{1E0F7A07-B18A-49C5-B6E3-65C01D506F33},Playground,,,,Playground,,,LCARTER,2023/11/22 21:14:57+00,
1776754.0738,5447517.9039,13,,Speargrass Park,{D07BB7F3-9C1D-4D82-8CA8-B1D1ACAE5A1A},Playground,,,,Playground,,,LCARTER,2024/08/30 03:39:43+00,
1776748.1162,5447266.922,14,,Timberlea Park,{7B041EC8-C71B-4538-B926-FDEB9B8DAB7C},Playground,,,,Playground,,,,,
1773566.5474,5446210.8359,15,,Riverbank Park,{C0B5AB5D-A803-4086-88F1-69E7B2CAB029},Playground,,,,Playground,,,,,
1776732.1447,5447267.3684,16,Basketball Half Court,Timberlea Park,{D95EB7FE-C60C-4869-85ED-5EA32663B73D},Sport & Recreation,Hoop on Basketball Half court,,Hoop,Basketball Half Court,,,,,
1776765.8424,5447231.6106,17,Basketball Full Court,Timberlea Park,{828FAC63-6C77-44A9-812D-03FE5F6FC22C},Sport & Recreation,,,,Basketball Full Court,,,,,
