OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
1,Court,1000145544,3,9b09c3b4-0117-47b2-a98c-69a9b124a8ab,Petanque Terrian-41000,10652,Omana Esplanade,Franklin,Omana Esplanade,26R,Auckland,144.7001953125,48.1192078673155
2,Court,1000150669,3,d763204d-4a81-4144-b01b-869a838cabd1,Basecourse-Netball x3 indoor,11376,Te Pai Park,Henderson-Massey,Te Pai Place,31-35,Auckland,2170,193.999951030205
3,Cricket Wicket,1000588380,3,7b00982d-e099-4468-ae74-5f7eb3cc8ab2,Summer - Astro - Cricket Wicket 1A,11235,Port Albert Recreation Reserve,Rodney,Wellsford Valley Road,570,Auckland,85.1865234375,58.0028867304597
4,Cricket Wicket,1000584184,3,e25a04a5-36ba-4e4f-bc70-03c88a272f80,Summer - Astro - Cricket Wicket 6A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,67.763671875,55.2259168641613
5,Cricket Wicket,1000150459,3,7c715e6b-7a37-48ba-a9e8-abeb75f42370,Summer - Soil - Cricket Block 1,11222,Bourne Dean Recreation Reserve,Rodney,Kaipara Flats Road,903,Auckland,272.169921875,73.5984942414748
6,Court,1000152615,3,b0601528-7f04-4517-9f1b-0a4299ad39e9,COUR-Volleyball Court,20299,Melrose Reserve,Devonport-Takapuna,Shoal Bay Road,26,Auckland,215.1953125,84.4805959534687
7,Cricket Wicket,1000146329,3,147254a4-6e70-43da-8f7a-fdc534011608,Summer - Astro - Cricket Wicket 2A,11069,Onewa Domain,Kaipatiki,Northcote Road,44,Auckland,65.8740234375,55.4512276843214
8,Court,1000145835,3,5c4fd83e-3988-4f29-8237-1c06b77d911d,COUC-Basketball-Next Playground,10932,Meadowood Reserve,Upper Harbour,Meadowood Drive,55,Auckland,105.4541015625,43.16513607452
9,Court,1000141155,3,8e5b4842-33b0-4114-8741-3fe1cc673b62,COUR-Basketball - Concrete-37000,10383,Murphy Park,Mangere-Otahuhu,Church Street,102,Auckland,62.4013671875,31.6002534523107
10,Cricket Wicket,1000150087,3,f43cbf11-9a23-4365-9d55-9b50b7b749fb,Summer - Astro - Cricket Wicket 1A,11205,Riverhead War Memorial Park,Rodney,Coatesville-Riverhead Highway,1087,Auckland,67.3037109375,58.4352879814152
11,Court,1000144672,3,2eac5961-2b1c-4773-a7b4-fdd246802921,COUR-Basketball-NW of skatepark,10751,David Lange Park,Mangere-Otahuhu,Bader Drive,98R,Auckland,220.8837890625,62.0474817343425
12,Sports Track,1000150096,3,8675d227-00d9-4616-81c9-34acb718734c,STRA-ATHL-Longjump E of playground,11205,Riverhead War Memorial Park,Rodney,Coatesville-Riverhead Highway,1087,Auckland,75.65625,36.8800108586117
13,Cricket Wicket,1000584183,3,fb517156-f64e-43b7-8609-deb4f45b91de,Summer - Astro - Cricket Wicket 4A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,68.7509765625,55.4999692986314
14,Cricket Wicket,1000145777,3,740a1910-79b7-4392-ab15-c91355288bbe,Summer - Astro - Cricket Wicket 1A,10926,Shepherds Park,Kaipatiki,Cresta Avenue,31-35,Auckland,87.1416015625,62.3964085133075
15,Court,1000148958,3,2e8da919-fe7a-4989-801c-774c8c8a8671,COUR-Volleyball-SW of carpark,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,176.150390625,55.572295823771
16,Court,1000163645,3,381d9db6-b819-44cd-96ea-f1b8ec81cf05,COUC-Tennis practice court,22445,Baddeleys Beach Reserve,Rodney,Baddeleys Beach Road,1,Auckland,106.4541015625,41.8471776840835
17,Cricket Wicket,1000148262,3,1d6cde3c-5fd1-4456-8bab-6ca8aa5ddcbf,Summer - Astro - Cricket Wicket 2A,11053,Bay City Park,Upper Harbour,Andersons Road,50,Auckland,81.21875,64.803448795784
18,Court,1000148041,3,c93a9a34-9b94-42c7-91e6-694d36463081,COUC-Tennis-Volley,10935,Greenhithe War Memorial Park,Upper Harbour,Roland Road,10,Auckland,76.3935546875,37.3750614068535
19,Court,1000164554,3,816d87d9-77d4-4b00-b08e-9dac184fa254,COUC-Basketball Court - 10x10,22199,Stanaway Reserve,Kaipatiki,Stanaway Street,36,Auckland,136.0419921875,46.6756404410075
20,Cricket Wicket,1000148967,3,51eb846d-520a-42dc-9f33-26947fc9a973,Cricket Net - Astro Wicket - x2 Lanes,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,269.65234375,86.9681895700052
21,Court,1000136333,3,fc4f3d0a-90de-4eeb-9344-b57113887250,BBAL - Half Court by volleyball,10107,Eastdale Reserve,Whau,Eastdale Road,33-37,Auckland,37.2412109375,24.4102601386649
22,Cricket Wicket,1000146695,3,f4ad3bdf-5748-41fd-bb0d-49a16032a73c,Summer - Astro - Cricket Wicket 1A,11072,Sunnynook Park,Devonport-Takapuna,Sunnynook Road,90,Auckland,70.826171875,59.1531151851598
23,Cricket Wicket,1000148800,3,59389cc7-8c7d-4125-919c-59ebfd6f940f,Cricket Wicket Astro - x3 Lanes,11275,Stanmore Bay Park,Hibiscus and Bays,Brightside Road,159-177,Auckland,169,52.0000021111683
24,Court,1000151593,3,5ed7393f-36c7-4dc8-b0f3-d334aca56ef4,Courts-Basketball Half Court,11418,Lawson Park,Whau,Willerton Avenue,38,Auckland,33.8671875,23.2946042448237
25,Court,1000148940,3,e9a99bdb-cb42-4b8c-9149-510da8084f35,COUR-Tennis,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,457.328125,96.0502661868188
26,Cricket Wicket,1000145360,3,358f60a7-df60-4e07-a784-de1d6fd8cf16,Summer - Concrete - Kilikiti Wicket 1,10646,Mayfield Park,Otara-Papatoetoe,Hills Road,42R,Auckland,84.0029296875,65.600132003184
27,Cricket Wicket,1000149321,3,7c7a0271-5ef4-4464-81ff-59d700ed4fbf,Summer - Astro - Cricket Wicket 1A,11141,Bayswater Park,Devonport-Takapuna,Bayswater Avenue,131,Auckland,65.3916015625,54.7575585794947
28,Cricket Wicket,1000149599,3,e0dcd3f5-a266-41f4-8c94-2373f3ce7a17,Summer - Astro - Cricket Wicket 1A,11128,Vauxhall Sportsfields,Devonport-Takapuna,Vauxhall Road,28,Auckland,75.53125,64.1883895205951
29,Court,1000148949,3,a9ce9197-e2f2-4242-9227-17cddd7d6982,COUR-Tennis,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,527.98828125,100.240614951815
30,Cricket Wicket,1000145909,3,577125dc-5706-4761-b2ce-2bb381fd51b8,Summer - Astro - Cricket Wicket 1A,10927,Onepoto Domain,Kaipatiki,Tarahanga Street,24,Auckland,75.3046875,63.3970590542558
31,Cricket Wicket,1000147669,3,234f4a80-1667-454b-a1ee-fddb05ffaf14,Summer - Astro - Cricket Wicket 1,10887,Te Puru Park,Franklin,Whitford Maraetei Road,954R,Auckland,74.369140625,56.5194918918937
32,Court,1000148869,3,bec27ada-9326-4293-94b4-b5b633161777,COUH-Tennis-E of playing fields,11107,Little Shoal Bay Reserve/Dudding Park,Kaipatiki,Council Terrace,20,Auckland,578.345703125,100.425609699076
33,Court,1000730528,3,019b9fe6-afbb-47ef-ae3f-1aa96b64b4a0,SURF - Half Court surface,10418,Riversdale Reserve,Whau,Riversdale Road,93,Auckland,82.560546875,39.582857019489
34,Court,1000146940,3,daa35646-712f-4884-9851-2a8225ffa4c5,COUR-Tennis-3 crts west of clubhouse,11059,Mairangi Bay Park,Hibiscus and Bays,Maxwelton Drive,63,Auckland,1713.12109375,164.126250106814
35,Cricket Wicket,1000146616,3,3952541a-3269-476f-8e79-2e138c3f16b9,Summer - Soil - Cricket Block 1,11087,Stanley Bay Park,Devonport-Takapuna,Calliope Road,166,Auckland,221.169921875,67.6185623491775
36,Cricket Wicket,1000151748,3,49fb4a74-5f3d-42c1-bcfe-2cc1d706ff9d,Summer - Soil - Cricket Block 1,11366,Ken Maunder Park,Whau,Binsted Road,34,Auckland,493.5703125,93.6925507739165
37,Court,1000015275,3,fed378c6-8fed-452c-9188-e609d2ad7071,COUR-Basketball/Tennis Court,20996,Malcolm Hahn Memorial Reserve,Upper Harbour,Waimarie Road,39,Auckland,549.85546875,101.401923304553
38,Cricket Wicket,1000147251,3,3b18c7a4-5934-4d27-bd93-6b1d04e3cd05,Summer - Astro - Cricket Wicket 3A,11054,Birkenhead War Memorial Park,Kaipatiki,Birkenhead Avenue,102,Auckland,75.03125,60.198492335416
39,Court,1000157566,3,67932453-9052-4a9d-ba46-8641718cf73d,SURF - Half Court 1_basketball,21048,Waima Reserve,Waitakere Ranges,Boylan Road,2,Auckland,99.69921875,39.9472651792548
40,Cricket Wicket,1000146223,3,d89aa73c-aa94-4261-a0be-d0eafa38995e,Summer - Astro - Cricket Wicket 1A,10930,Wainoni Park North,Upper Harbour,Churchouse Road,56,Auckland,72.6484375,64.9199392637901
41,Cricket Wicket,1000141834,3,acba996f-0ad3-4a9f-99e0-25bf2913d821,Summer - Astro - Cricket Wicket 1,10401,Thomas Bloodworth Park,Orakei,Shore Road,2-30,Auckland,62.6396484375,54.8489138726266
42,Cricket Wicket,1000150048,3,0e598abb-b6b8-4202-8833-f24ecd473ccb,Summer - Astro - Cricket Wicket 2A,11211,Wellsford Centennial Park,Rodney,Centennial Park Road,83,Auckland,42.81640625,43.9733330563417
43,Court,1000148881,3,24d606b3-5b2a-4306-9c38-fd4345900c3a,COUR-Tennis-6 crts east of clubhouse,11059,Mairangi Bay Park,Hibiscus and Bays,Maxwelton Drive,63,Auckland,2949.3466796875,238.344575705169
44,Cricket Wicket,1000150206,3,f8d0e362-c242-4433-9925-4c40671237e4,Summer - Astro - Cricket Wicket 1A,11213,Rautawhiri Park,Rodney,Rautawhiri Road,164,Auckland,84.80859375,65.4924958014773
45,Cricket Wicket,1000584182,3,6790101a-2a42-4fff-bba1-f442001b7180,Summer - Astro - Cricket Wicket 4A,10107,Eastdale Reserve,Whau,Eastdale Road,33-37,Auckland,71.0380859375,55.7788750770757
46,Court,1000148432,3,a0e0bf3d-5634-44df-bfba-1efa3c259d1d,COUR-Sand-Volleyball-adj Surf Club c/prk,11273,Orewa Reserve,Hibiscus and Bays,Hibiscus Coast Highway,265,Auckland,377.732421875,79.4430000965084
47,Cricket Wicket,1000584178,3,62608ae9-df9a-4bb3-8c0a-4aa879924e0f,Summer - Astro - Cricket Wicket 2A,10418,Riversdale Reserve,Whau,Riversdale Road,93-123,Auckland,69.7236328125,56.8463268188871
48,Cricket Practice Area,1000727455,3,13e11b59-47be-4992-b48a-a00859ed4ebc,Cricket Net - Astro Wicket - x3 Lanes,10200,Victoria Park,Waitemata,Victoria Street West,203-271,Auckland,287.3193359375,75.3091472293768
49,Cricket Wicket,1000148379,3,a61874f8-af08-459d-b7b3-cfc2b785c11a,Summer - Astro - Cricket Wicket 1a,11069,Onewa Domain,Kaipatiki,Northcote Road,44,Auckland,65.921875,55.1976986645053
50,Court,1000151224,3,016dcbe9-e7fb-4710-b653-cd8e00492029,COUC-Bball-By p/grnd,20054,Greville Reserve,Devonport-Takapuna,Forest Hill Road,R 253,Auckland,135.134765625,48.671305690156
