Name,Park,Season,Use_,Park_Season,Entire_Park,OBJECTID,GlobalID,Shape,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
Picnic Area 4,Trentham Memorial Park,All Year,Picnic,Trentham Memorial Park - All Year,No,68,{8BAFF144-F141-4388-AF7C-68D018FD3B7B},,,,LCARTER,2023/10/26 02:22:34+00,4040.355587145,247.471829626063
Picnic Area 2,Maidstone Park,All Year,Picnic,Maidstone Park - All Year,No,69,{3BE43C17-D4B1-4404-854B-551E7B5534E7},,,,,,1710.351978785,147.938356130063
Picnic Area 1,Maidstone Park,All Year,Picnic,Maidstone Park - All Year,No,70,{AA630021-BF86-46AA-B778-02540F9CC88C},,,,,,1451.07187653,136.340739382344
Picnic Area 1,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,72,{6CCD2EFD-BE29-4E29-BB9A-88C45F445888},,,,,,509.93659624,80.8762213863754
Picnic Area 6,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,73,{A7E7CD3B-5DF5-454A-84FE-DA6D35EA10BB},,,,,,5458.075799515,271.365482545717
Picnic Area 2,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,77,{9FB3A818-C9D0-47C0-B61B-C8C91755AD1C},,,,,,379.18336681,72.4407760899276
Picnic Area 4,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,78,{8F42C31C-2CDE-434C-B873-42F226183E4B},,,,,,509.93659624,80.8762213863754
Picnic Area 3,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,79,{AA7BD1F9-43FD-428D-8780-BC49ED5CCADA},,,,,,425.13160164,73.2563710520315
Picnic Area 5,Harcourt Park,All Year,Picnic,Harcourt Park - All Year,No,80,{D5CCF04B-87E8-443D-B912-2DEDBB96013A},,,,,,489.277595215,79.2210276016771
Picnic Area 3,Trentham Memorial Park,All Year,Picnic,Trentham Memorial Park - All Year,No,81,{C1556566-F94E-4EC7-B9C3-7F54944C3AE4},,LCARTER,2023/10/26 02:22:34+00,LCARTER,2024/04/29 02:02:47+00,1823.168427095,158.140625409833
Picnic Area 1,Trentham Memorial Park,All Year,Picnic,Trentham Memorial Park - All Year,No,82,{698BDB7F-EFE9-45EB-88F7-433BF227B4B5},,LCARTER,2023/10/26 02:22:34+00,LCARTER,2023/10/26 03:26:52+00,111.121752165,37.6274097629646
Picnic Area 2,Trentham Memorial Park,All Year,Picnic,Trentham Memorial Park - All Year,No,83,{8D8D4D12-73AA-4731-8FA1-9440561AA22C},,LCARTER,2023/10/26 02:22:34+00,LCARTER,2023/10/26 03:26:52+00,364.162510025,68.1165236549466
Symbol - Picnic Area,,All Year,Picnic,,No,84,{A4729D49-EA62-454F-8132-DE47FB454FA3},,LCARTER,2023/11/02 22:27:56+00,LCARTER,2023/11/02 22:37:06+00,,
