X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,SubType,Shape,created_user,created_date,last_edited_user,last_edited_date
1770569.8385,5444294.9559,1,,Trentham Memorial Park - Domain Bush,{98321D4E-7008-47CE-A7BD-9F948F95E2B7},Public Toilet,Erehwon Toilet Block,Concrete Blocks,,,,LCARTER,2023/11/28 01:08:21+00
1776002.2961,5446906.5517,2,"1 x Male, 1 x Urinal, 1 x Female",Te Haukāretu Park,{942ABAE9-7E29-45C6-BE7C-D205F5ED2ADE},Public Toilet,Te Haukāretu Toilet Block,Concrete Blocks,,,,,
1775896.4576,5447743.0807,3,"1 x Male, 1 x Urinal, 4 x Female",Harcourt Park,{514FF001-D74A-4CC0-B53F-0650F5651710},Public Toilet,Toilets,Concrete,,,,,
1767641.8237,5443047.9355,4,,Silverstream Amenity Reserve,{8E9E381C-88C6-48A5-89C7-7C4D77114436},Public Toilet,Permaloo Toilet Block,Permaloo,,,,,
1768947.62,5442763.373,5,Unisex,Silverstream Park,{79AFE8E6-DBB4-4579-B706-1FABEC0CF740},Public Toilet,Exeloo Toilet Block,Exeloo,,,,,
1770813.4449,5445318.2152,6,,Moonshine Park,{0B82FBA3-DB2F-42EC-8EBC-16F3437A900E},Public Toilet,Toilet Block in middle of Moonshine Park,Concrete Blocks,,,,,
1774058.7849,5445125.1283,7,,Maidstone Max - East,{148EBAF8-161C-4788-8C6D-43164C720D67},Public Toilet,Exeloo Toilet Block,Exeloo,,,,LCARTER,2023/11/28 00:41:04+00
1775730.3028,5447588.2739,8,"1 x Male, 2 x Urinal, 1 x Female",Harcourt Park Soccer,{526FAB34-8191-4294-AF13-7B7FD1CB957C},Public Toilet,Toilet Block within Pavilion in Harcourt Soccer Park,Concrete Blocks,,,,,
1768969.7342,5443536.73,9,,Heretaunga Park,{00F113CE-D30F-4289-83BB-C1DC6C98E930},Public Toilet,Heretaunga Park Toilet Block structure,Concrete Blocks,,,,,
1770116.0413,5444470.7209,10,"4 x Male, 1 x Urinal, 7 x Female",Trentham Memorial Park - Trentham Sports Centre,{DF370D41-6083-4ECE-918B-EBD8D5F13181},Public Toilet,Public Toilets in Trentham Sports Centre,Concrete Blocks,,,,LCARTER,2023/11/28 01:08:21+00
