X,Y,OBJECTID,Location,Description,Asset_ID_UA,Asset_ID_AWM,Short_ID_UA,Road_ID_AWM,Location_AWM,Asset_Group_UA,Rubbish_Bin_Type_AWM,Asset_Type_UA,SubType,Asset_Class_ID_UA,Asset_Owner,Location_Verified,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Zone,Servicing_Schedule_Summer,Servicing_Schedule_Winter
1768966.5793,5442733.8453,2,Silverstream Park,,87485,,SILVER-BIN01,,,,,Bin,,16,,Verified 08/2025,{B0C5CC57-8425-43F5-8539-5D48FF25CAA4},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1770562.9591,5444553.2802,6,Trentham Memorial Park,,88567,,TMP-BIN05,,,,,Bin,,16,,Verified 08/2025,{ED8872C4-22F7-47A4-8EC3-D214C27D3B84},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774835.7642,5446648.4889,8,Awa Kairangi Park,,88534,,AWAKAIR-BIN01,,,,,Bin,,16,,Verified 08/2025,{4A81BC57-8493-4C34-8C4D-95D9B124D7A7},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774019.4242,5445156.0918,20,Maidstone Max,"Red ""Rubbish"" bin in same unit as blue ""Glass Bottles"" recycling bin and yellow ""Recycle"" bin. ",89163,,MAIDSTONE-BIN5,,,,,Bin,3 Bay,16,,Verified 08/2025,{820A4BDF-B86F-4E46-8D60-3D69A4D21B26},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774113.9006,5445155.6365,22,Maidstone Park,,89170,,MAIDSTONE-BIN11,,,,,Bin,,16,,Verified 08/2025,{3FD14BCF-20BD-4BBC-BB45-775295425D6C},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774190.9036,5445073.3008,26,Maidstone Park,,89176,,MAIDSTONE-BIN16,,,,,Bin,,16,,Verified 08/2025,{E66BA1F4-59C7-4629-A043-B65E4CA29EDD},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1770165.6939,5444436.5773,29,Trentham Memorial Park,,88622,,TMP-BIN14,,,,,Bin,,16,,Verified 08/2025,{22CA29FE-7108-488B-854A-578F8731538B},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1773602.9605,5445125.2085,32,Civic Centre,,89403,,CIVIC-BIN01,,,,,Bin,,16,,Verified 08/2025,{688048EE-3AAF-4334-91F9-C67CC626AE96},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1768979.2555,5442744.5115,33,Silverstream Park,,90569,,SILVER-BIN02,,,,,Bin,,16,,Verified 08/2025,{56C33751-C11C-4CE8-A803-F69C145B88F1},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774267.1391,5445232.9519,37,Maidstone Park,,103519,,MAIDSTONE-BIN21,,,,,Bin,,16,,Verified 08/2025,{932DCD7B-924E-4D10-8B84-21BDFA82B45E},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774270.0954,5445234.261,38,Maidstone Park,,103520,,MAIDSTONE-BIN22,,,,,Bin,,16,,Verified 08/2025,{F7602319-D4E4-43BF-A4B9-ECB9955630F1},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774348.4747,5445214.9728,40,Maidstone Park,,103523,,MAIDSTONE-BIN25,,,,,Bin,,16,,Verified 08/2025,{2995D30F-6965-4701-89AA-34C46774061F},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1780584.439,5449342.3575,42,SH2,,105674,,KAITOKEHILL-BIN,,,,,Bin,,16,,Verified 08/2025,{21F19B7D-D9BC-442F-A7F2-B7FD2A068B2F},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1787381.6859,5446114.8582,43,Remutaka Summit Carpark,,,,,,,,,Bin,,16,,Verified 08/2025,{5907AEDB-60C7-40D4-B9C3-9A382F5CFDCE},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1776756.4215,5449416.5784,44,Akatārawa Cemetery,,107404,,AKA-CEM-BIN19,,,,,Bin,,16,,Verified 08/2025,{07DB92E9-4F07-4376-8889-D128CEDDD02F},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1775713.5033,5447731.1622,46,Harcourt Park,,108730,,HARCOURT-BIN23,,,,,Bin,,16,,Verified 08/2025,{905D7981-9CB9-40C3-8C1C-83F2DDCB8A3E},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774890.8022,5446197.811,47,Benge Park,Tilly tilt unstained,87913,,BENGE-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{1221C6AB-E360-4DAF-B7DB-B15B4BE11980},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774971.0751,5446756.2449,49,Awa Kairangi Park,Tilly Tilt Unstained Rubbish Bin at intersection of paths,,,,,,Rubbish Bin,,Tilley Tilt,,,,Verified 08/2025,{4F7F73A8-8892-4305-8224-E384B6011042},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1779031.5681,5448581.8949,51,Plateau Road Play Area,Wooden Slat Rubbish Bin on concrete pad,87681,,PLATEAU-BIN,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{B8995113-D88C-426B-9AFC-2A4A7C197537},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1774581.0105,5447169.7249,52,Tulsa Park,Standard tilt bin on concrete pad not stained. ,87967,,TULSA-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{91ECD38A-9404-4DEC-A492-D5F54C11FE70},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1773573.0489,5446197.7354,53,Riverbank Park,Tilly tilt unstained- by playground,88758,,RIVERBNK-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{D42968AF-B096-419E-A107-4252B945CDBC},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1772585.4015,5444752.8508,54,Ward/Miro Green Area,Tilley stained slat bin next to playground,87573,,WARD/MIRO-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{F9625C6C-70D1-4239-AC7F-EB32B8699BF9},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1771225.2779,5446382.2371,56,Craigs Flat Reserve,Tilly wooden slat tilt bin unstained,87860,,CRAIGSFLAT-BIN1,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{A5F3DB1C-E6B3-48B1-A4A1-C50DCB711103},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1768795.7807,5442422.0241,58,Dunns Park,Tilley Tilt Rubbish Bin by path,87577,,DUNNS-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{99CAF682-DC94-4D7A-965E-491275EE262B},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1769057.0647,5443610.5329,59,Heretaunga Park,Tilly tilt unstained (by playground),87641,,HERETNGA-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{2471EFE6-0CC3-4FE7-894F-D82D0BAFED4C},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1769080.8721,5443615.4284,60,Heretaunga Park,Tilly tilt unstained (by bridge),87642,,HERETNGA-BIN02,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{61487BFC-1A67-4E8B-9FD9-04C91AE9FAA4},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1780306.0403,5448241.7529,61,Upper Plateu Park,Tilley Tilt Rubbish Bin,87668,,UP-PLATEAU-BIN,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{F3F99185-4888-4FBA-A659-FC8E97D7FD1A},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1775289.4939,5446366.3349,63,Māoribank Park,Tilly Tilt Unstained Rubbish Bin,87934,,MAORIBANK-BIN01,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{499D42EF-0AC3-4401-89FE-7B4D73DF50CF},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
1775491.5755,5446482.6545,64,Māoribank Park,Tilly Tilt Unstained Rubbish Bin,87935,,MAORIBANK-BIN02,,,Rubbish Bin,,Tilley Tilt,,16,,Verified 08/2025,{66CB7B4B-B4F1-4371-A39F-0BFC511B2112},CSADMIN,2025/08/29 03:57:27+00,CSADMIN,2025/08/29 03:57:27+00,,,
