SportAreaID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,CommissionDate,AreaNumber,AreaName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
31,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Dallington Bowling Club,,,,,,,,Avon Park,Yes,Northern Contract Area,2006/07/25 00:00:00+00,2025/04/08 08:53:38+00,322.631879043728,5370.0246585926
66,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Bowls,,,,,,,,Barrington Park,Yes,Eastern Contract Area,2006/07/25 00:00:00+00,2025/04/08 08:53:38+00,171.637101430084,1835.29489140645
67,In Service,Tennis,Intermediate,Unknown,Non-Seasonal,Ashphalt,,1,Tennis Court 1,,,,,,,,Barrington Park,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2025/04/08 08:53:38+00,69.143542511437,258.091412005546
68,In Service,Croquet,Junior,Unknown,Non-Seasonal,Grass,,,Croquet,,,,,,,,Barrington Park,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2025/04/08 08:53:38+00,242.389629750734,2397.48817030146
72,Out of Service,Cricket,Senior,Unknown,Non-Seasonal,Grass,,1,Senior Cricket Block 1,,,,,,,,Barnett Park Sports Grounds,No,Eastern Contract Area,2006/07/27 00:00:00+00,2025/04/08 08:53:38+00,69.5209199618824,276.688993373911
76,Out of Service,Cricket,Senior,Unknown,Non-Seasonal,Grass,,2,Senior Cricket Block 2,,,,,,,,Barnett Park Sports Grounds,No,Eastern Contract Area,2006/07/27 00:00:00+00,2025/04/08 08:53:38+00,84.2464100706189,434.005596145355
102,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,1,Senior Cricket Block 1,,,,,,,,Bishopdale Park,No,Northern Contract Area,2006/07/27 00:00:00+00,2025/04/08 08:53:38+00,54.8500708222214,74.1068014967409
117,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Burwood Bowling Club,,,,,,,,Burwood Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2025/04/08 08:53:38+00,254.401474469631,3763.72983518308
190,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Bowling Club,,,,,,,,Edgar Macintosh Park,Yes,Northern Contract Area,2006/08/01 00:00:00+00,2025/04/08 08:53:38+00,227.915662977192,2842.45388620519
191,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,1,Senior Cricket Block 1,,,,,,,,Edgar Macintosh Park,No,Northern Contract Area,2006/08/01 00:00:00+00,2025/04/08 08:53:38+00,79.7457790930916,350.911844104501
192,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,2,Senior Cricket Block 2,,,,,,,,Edgar Macintosh Park,No,Northern Contract Area,2006/08/01 00:00:00+00,2025/04/08 08:53:38+00,86.88075267377,458.694099411226
308,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Bowling Club,,,,,,,,Elmwood Park,Yes,Northern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,152.735176901978,1456.14942149029
309,In Service,Tennis,Intermediate,Unknown,Non-Seasonal,Grass,,1,Tennis Court 1,,,,,,,,Elmwood Park,Yes,Northern Contract Area,2013/08/05 16:48:00+00,2025/04/08 08:53:38+00,68.8901230878007,256.250685191085
310,In Service,Croquet,Junior,Unknown,Non-Seasonal,Grass,,,Croquet Club,,,,,,,,Elmwood Park,Yes,Northern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,262.908980556283,3775.27598592455
314,In Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Astroturf - Sand Based,,1,Senior Cricket Block 1,,,,,,,,Hansen Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,63.6537429182937,72.6371627121261
318,In Service,Discus,Intermediate,Unknown,Non-Seasonal,Ashphalt,,,Discus Area,,,,,,,,Hansen Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,9.32918597119076,6.92068655009031
319,In Service,Shotput,Intermediate,Unknown,Non-Seasonal,Ashphalt,,,Shotput Area,,,,,,,,Hansen Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,8.22716412722639,5.38168377021058
320,In Service,Javelin,Intermediate,Unknown,Non-Seasonal,Grass,,,Javelin Area,Javelin Area,,,,,,,Hansen Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,109.984340668568,962.551263832087
321,In Service,Long Jump,Intermediate,Unknown,Non-Seasonal,Unknown,,,Long Jump Pits,,,,,,,,Hansen Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,28.8064515203663,36.871688521899
322,In Service,Bowls,Senior,Unknown,Non-Seasonal,Grass,,,Bowling Club,,,,,,,,Heathcote Domain,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,197.45436069785,2434.052019524
326,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,1,Senior Cricket Block 1,Cricket Pitch,,,,,,,Hillsborough Park,No,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,82.2472044669905,400.566102040535
344,In Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Astroturf - Water Based,,1,Senior Cricket Block 1,,,,,,,,Kyle Park,Yes,Eastern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,64.162577404585,73.5179844078333
356,In Service,Tennis,Intermediate,Unknown,Non-Seasonal,Ashphalt,,1,Tennis Court 1,,,,,,,,Marshland Domain,Yes,Northern Contract Area,2006/08/02 00:00:00+00,2025/04/08 08:53:38+00,69.1994179861456,257.541498647591
371,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,1,Senior Cricket Block 1,,,,,,,,Middleton Park,No,Eastern Contract Area,2006/08/03 00:00:00+00,2025/04/08 08:53:38+00,106.820073805174,713.154150115627
373,In Service,Hockey,Senior,Unknown,Non-Seasonal,Astroturf - Sand Based,,1,Senior Hockey 1,,,,,,,,Nunweek Park,Yes,Northern Contract Area,2006/08/03 00:00:00+00,2025/04/08 08:53:38+00,321.620778471397,6058.03102401715
375,In Service,Hockey,Senior,Unknown,Non-Seasonal,Astroturf - Sand Based,,2,Senior Hockey 2,,,,,,,,Nunweek Park,Yes,Northern Contract Area,2006/08/03 00:00:00+00,2025/04/08 08:53:38+00,292.691660777094,5023.27918298538
385,Out of Service,Cricket,Senior,Christchurch City Council,Non-Seasonal,Grass,,1,Senior Cricket Block 1,,,,,,,,Nunweek Park,Yes,Northern Contract Area,2006/08/03 00:00:00+00,2025/04/08 08:53:38+00,74.5633684676951,338.027790144789
