SportFieldID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,FieldNumber,FieldName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
19,In Service,Football,Senior,Christchurch City Council,Non-Seasonal,Grass,2,Senior Football 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",,Avonhead Park,Yes,Northern Contract Area,2006/07/24 00:00:00+00,2024/06/18 12:56:30+00,339.874861002801,6994.85040598828
20,In Service,Football,Senior,Unknown,Non-Seasonal,Grass,1,Senior Football 1,,2024/03/28 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Avonhead Park,Yes,Northern Contract Area,2006/07/24 00:00:00+00,2024/06/18 13:02:14+00,339.874599617921,6994.83930122373
28,Out of Service,Tag Football,Senior,Unknown,Winter,Grass,1,Senior Tag Football 1,,,,,,,,Addington Park,No,Eastern Contract Area,2006/07/25 00:00:00+00,2024/06/18 13:03:15+00,375.85507570947,8153.70985358123
29,Out of Service,Football,Senior,Unknown,Non-Seasonal,Grass,1,Senior Football 1,,2023/04/01 00:00:00+00,2023/09/03 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Avon Park,Yes,Northern Contract Area,2006/07/25 00:00:00+00,2024/06/18 13:09:55+00,339.865908308993,6994.48267433119
56,In Service,Rugby,Senior,Unknown,Winter,Grass,1,Senior Rugby Union 1,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Barrington Park,Yes,Eastern Contract Area,2006/07/25 00:00:00+00,2024/06/18 12:58:56+00,322.596875145798,6280.0121590225
57,In Service,Rugby,Junior,Unknown,Winter,Grass,1,Junior Rugby Union 1,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Barrington Park,Yes,Eastern Contract Area,2006/07/25 00:00:00+00,2024/06/18 12:54:28+00,249.903183628239,3747.09454424096
71,In Service,Football,Senior,Unknown,Winter,Grass,1,Senior Football 1,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Barnett Park Sports Grounds,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:56:14+00,339.860550757153,6994.2552504218
74,In Service,Football,Junior,Unknown,Winter,Grass,1,Junior Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Barnett Park Sports Grounds,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:53:19+00,199.917987359778,2398.03344108981
75,In Service,Football,Junior,Unknown,Winter,Grass,2,Junior Football 2,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Barnett Park Sports Grounds,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:53:44+00,199.917728523416,2398.02730869939
77,In Service,Football,Senior,Unknown,Winter,Grass,2,Senior Football 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Barnett Park Sports Grounds,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:56:31+00,342.523886903496,7106.64630725078
78,In Service,Football,Intermediate,Unknown,Winter,Grass,1,Intermediate Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Barnett Park Sports Grounds,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:53:44+00,239.93419007356,3494.36285268747
99,Out of Service,Gaelic Football,Senior,Unknown,Summer,Grass,1,Senior Gaelic Football 1,,,,,,,,Bishopdale Park,No,Northern Contract Area,2006/07/27 00:00:00+00,2022/09/20 16:16:29+00,375.859662116423,8153.90084907434
103,In Service,Cricket,Senior,Unknown,Summer,Grass,1,Senior Cricket 1,,2022/10/15 00:00:00+00,2023/03/25 00:00:00+00,2022/12/18 00:00:00+00,2023/01/13 00:00:00+00,,Saturday,Bishopdale Park,Yes,Northern Contract Area,2006/07/27 00:00:00+00,2022/09/20 16:16:26+00,452.624784758676,11991.8658039771
105,In Service,Rugby,Senior,Unknown,Winter,Grass,1,Senior Rugby Union 1,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Bower Park,Yes,Northern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:59:20+00,379.849214861508,8393.32552047239
109,In Service,Rugby League,Senior,Unknown,Winter,Grass,1,Senior Rugby League 1,,2024/04/06 00:00:00+00,2024/08/11 00:00:00+00,,,"Tuesday,Thursday",Saturday,Branston Park,Yes,Eastern Contract Area,2006/07/27 00:00:00+00,2024/06/18 12:57:29+00,375.860960522288,8153.95871531705
112,In Service,Football,Junior,Unknown,Winter,Grass,2,Junior Football 2,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Broadhaven Reserve,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:53:20+00,162.783673014807,1597.40385109622
114,Out of Service,Tag Football,Senior,Christchurch City Council,Summer,Grass,1,Senior Tag Football 1,,2022/10/10 00:00:00+00,,,,"Saturday,Sunday",Tuesday,Broadhaven Reserve,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/09/11 10:01:50+00,239.156167451843,3473.7745582598
116,Out of Service,Tag Football,Senior,Christchurch City Council,Summer,Grass,5,Senior Tag Football 5,,2022/10/10 00:00:00+00,,,,"Saturday,Sunday",Tuesday,Broadhaven Reserve,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/09/11 10:02:08+00,238.769877165683,3460.73836664996
118,Out of Service,Hockey,Senior,Unknown,Winter,Grass,1,Senior Hockey 1,,,,,,,,Burwood Park,No,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 13:03:16+00,292.685300335525,5023.06710202344
122,In Service,Rugby,Senior,Unknown,Winter,Grass,1,Senior Rugby Union 1,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burwood Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:59:07+00,379.851462350903,8393.43001568511
123,In Service,Football,Senior,Unknown,Winter,Grass,1,Senior Football 1,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burwood Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:55:47+00,339.86715026896,6994.52640721398
139,In Service,Rugby,Senior,Unknown,Winter,Grass,3,Senior Rugby Union 3,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burwood Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:59:21+00,379.851051912906,8393.42456375838
154,In Service,Football,Senior,Unknown,Winter,Grass,1,Senior Football 1,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:57:06+00,339.873290024845,6994.78886081811
155,In Service,Football,Senior,Unknown,Winter,Grass,3,Senior Football 3,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:56:08+00,261.437232615968,4188.57535794511
156,In Service,Football,Senior,Unknown,Winter,Grass,4,Senior Football 4,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:56:31+00,339.873430580978,6994.79471509416
157,In Service,Football,Senior,Unknown,Winter,Grass,2,Senior Football 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:56:15+00,339.873305645356,6994.78847068661
162,In Service,Rugby,Senior,Unknown,Winter,Grass,1,Senior Rugby Union 1,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:58:57+00,379.859161232604,8393.76242588815
164,In Service,Rugby,Junior,Unknown,Winter,Grass,3,Junior Rugby Union 3,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:54:55+00,249.907517198298,3747.22214151669
165,In Service,Rugby,Junior,Unknown,Winter,Grass,4,Junior Rugby Union 4,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:54:43+00,249.906951508699,3747.21242206175
166,In Service,Rugby,Junior,Unknown,Winter,Grass,2,Junior Rugby Union 2,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:54:56+00,249.907234346313,3747.21330567879
167,In Service,Rugby,Junior,Unknown,Winter,Grass,1,Junior Rugby Union 1,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:54:29+00,249.907234344995,3747.21330563764
168,In Service,Rugby,Senior,Unknown,Winter,Grass,3,Senior Rugby Union 3,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burnside Park,Yes,Northern Contract Area,2006/07/28 00:00:00+00,2024/06/18 12:59:22+00,379.858846034336,8393.77243789403
