Drug Free Sport NZ,,,,
Graeme Steel - Chief Executive,Disclosure Period: July 2016 - June 2017,,,
International and Domestic Travel Expenses,,,,
International Travel,Credit Card Expenses,,,
,,,,
,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
7/06/2016, $16.35 ,International Anti-Doping Meeting,Train,Copenhagen
10/06/2016, $80.34 ,International Anti-Doping Meeting,Taxi,Norway
11/06/2016, $94.62 ,International Anti-Doping Meeting,Taxi,Norway
15/06/2016, $16.43 ,EU Meeting,Train,Netherlands
15/06/2016, $121.09 ,EU Meeting,Taxi,Sweden
8/07/2016," $1,047.10 ",Tackling Doping in Sport Conference (TDIS),Register for conference,London
26/08/2016, $55.00 ,NADO Summit,Air NZ Parking,Auckland
30/08/2016, $531.95 ,NADO Meeting,Accommodation ,Denmark
2/09/2016, $5.00 ,NADO Summit,Air NZ Parking - Extra Day,Auckland
8/09/2016, $5.70 ,Meeting,Auckland Transport,Auckland
16/01/2017, $770.46 ,Tackling Doping in Sport Conference,Accommodation,London
27/02/2017, $19.93 ,ESTA US Entry Authority,US Customs,Auckland
28/02/2017, $103.05 ,TDIS Conference,Accommodation,Great Britain
6/03/2017, $52.48 ,TDIS Conference,Meal,Great Britain
9/03/2017, $32.57 ,TDIS Conference,Accommodation,London
10/03/2017, $37.90 ,TDIS Conference,Accommodation,London
11/03/2017, $8.14 ,TDIS Conference,Public Transport,Great Britain
11/03/2017, $8.14 ,TDIS Conference,Public Transport,Great Britain
11/03/2017, $41.23 ,WADA Conference,Travel,Switzerland
11/03/2017, $128.11 ,WADA Conference,Meal for x2 staff,Switzerland
13/03/2017, $36.85 ,WADA Conference,Meal,Switzerland
16/03/2017," $1,139.01 ",WADA Conference,Accommodation,Switzerland
," $4,351.45 ",,,
,,,,
International Travel,Non credit card expenses,,,
,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
6/10/2017," $5,737.16 ",NADO Meeting,Flights AKL-LON,London
16/03/2017," $5,810.09 ",WADA Meeting,Flights AKL-LHR-GVA-SIN,London/Lausanne
4/05/2017, $822.29 ,Oceania Regional Meeting,Flights AKL-NAN,Nadi
," $12,369.54 ",,,
,,,,
Domestic Travel,Credit Card expenses,,,
,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
21/06/2016, $80.80 ,Return from IADA and EU Meeting,Airport to Home,Auckland 
29/06/2016, $35.80 ,Government Meeting,Taxi,Wellington
29/06/2016, $42.30 ,Government Meeting,Taxi,Wellington
26/07/2016, $8.00 ,City Meeting,Train,Auckland 
5/08/2016, $8.00 ,Meeting with Insurance Brokers,Train,Auckland 
22/08/2016," $1,153.12 ",ANZSLA Conference Innovators ,Conference Fee,Wellington
29/09/2016, $636.00 ,ANZSLA Sports Law Conference,Accommodation,Wellington
10/10/2016, $6.60 ,Meeting With Board Members,Parking,Auckland 
11/10/2016, $35.90 ,Government Meeting,Taxi,Wellington
11/10/2016, $50.00 ,Government Meeting,Taxi,Auckland 
18/10/2016, $9.60 ,City Meeting,Parking,Auckland 
15/11/2016, $35.00 ,Government Meeting,Taxi,Wellington
18/11/2016, $49.10 ,Medical Conference,Wilson Parking,Auckland 
5/12/2016, $8.50 ,Meeting,Auckland Transport,Auckland 
14/12/2016, $15.50 ,Meeting,Auckland Transport,Auckland 
22/03/2017, $83.60 ,Government Meeting,Auckland Transport,Auckland 
1/04/2017, $44.00 ,Government Meeting,Parking,Auckland 
18/04/2017, $38.70 ,Government Meeting,Taxi,Wellington
