X,Y,SportsEquipmentID,Type,ServiceStatus,Ownership,Responsibility,Maintenance,LocationCertainty,InstallationCompany,OwnerType,ContractArea,InContract,Artwork,Construction,SurfaceFinish,SurveyDate,CommissionDate,DonorName,FallHeight,NumberOfAssets,SiteName,Photo,PhotographURL,AssetLongDescription,Comment,SAPInternalReference,IDSAssetUniqueID,LastEditDate
1577719.6738,5172293.2886,674,Basketball Hoop,In Service,CCC,Park,Park,Approximate XY,Unknown,Unknown,Eastern Contract Area,No,No,Metal,Galvanised,2008/01/11 00:00:00+00,2018/01/01 13:00:00+00,,,,PRK_3514 - Oxford Street Reserve,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010386.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010386.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010386.jpg,16m ENE of Centre of Park,,IE000000000010039033,,2024/09/09 09:54:42+00
1576500.4014,5171519.0112,779,Goal posts,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Eastern Contract Area,Yes,No,Metal,Painted,2008/01/11 00:00:00+00,2008/05/20 00:00:00+00,,,,PRK_3527 - Lyttelton Recreation Ground,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010108.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010108.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010108.jpg,69m NE of Centre of Park,,IE000000000010038719,,2025/08/12 12:24:38+00
1576421.0324,5171510.0428,784,Goal posts,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Eastern Contract Area,Yes,No,Metal,Painted,2008/01/11 00:00:00+00,2008/05/20 00:00:00+00,,,,PRK_3527 - Lyttelton Recreation Ground,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010113.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010113.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010113.jpg,32m N of Centre of Park,,IE000000000010038723,,2025/08/12 12:24:38+00
1571551.3019,5169387.3164,898,Netball Hoop,In Service,CCC,Park,Park,Approximate XY,Unknown,Unknown,Banks Peninsula,No,No,Metal,Galvanised,2008/01/24 00:00:00+00,2008/05/20 00:00:00+00,,,,PRK_3563 - Cholmondeley Reserve,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010667.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010667.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010667.jpg,68m SSE of Centre of Park,removable basketball hoop,IE000000000010038196,,2019/12/13 16:02:10+00
1571554.6814,5169386.6407,899,Tennis Practise Wall,In Service,CCC,Park,Park,Approximate XY,Unknown,Unknown,Banks Peninsula,No,No,Concrete,None,2008/01/24 00:00:00+00,2010/12/17 00:00:00+00,,,,PRK_3563 - Cholmondeley Reserve,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010668.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010668.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00377/R0010668.jpg,70m SSE of Centre of Park,,IE000000000010038197,,2019/12/13 16:02:10+00
1571782.7689,5153182.9498,1396,Tennis Practise Wall,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Banks Peninsula,No,No,Concrete,Unknown,2008/01/24 00:00:00+00,2010/09/03 00:00:00+00,,,,PRK_3672 - Ataahua Domain,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00378/R0011198.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00378/R0011198.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080124/00378/R0011198.jpg,101m WSW of Centre of Park,Tennis practice wall in good condition,IE000000000010041465,,2020/05/02 12:36:57+00
1576511.0811,5171419.6578,2939,Goal posts,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Eastern Contract Area,Yes,No,Metal,Painted,2008/02/14 14:04:46+00,2008/05/20 00:00:00+00,,,,PRK_3527 - Lyttelton Recreation Ground,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010125.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010125.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010125.jpg,67m SE of Centre of Park,,IE000000000010038757,,2025/08/12 12:24:38+00
1576432.8767,5171411.4528,2940,Goal posts,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Eastern Contract Area,Yes,No,Metal,Painted,2008/02/14 14:08:02+00,2008/05/20 00:00:00+00,,,,PRK_3527 - Lyttelton Recreation Ground,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010127.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010127.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00377/R0010127.jpg,34m S of Centre of Park,,IE000000000010038758,,2025/08/12 12:24:38+00
1578999.8104,5169139.5074,2993,Tennis Practise Wall,In Service,CCC,Park,Park,Approximate XY,Unknown,Council,Banks Peninsula,No,No,Wood,Unknown,2008/02/14 00:00:00+00,2014/04/29 00:00:00+00,,,,PRK_3552 - Kirk Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080214/00377/R0011495.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080214/00377/R0011495.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080214/00377/R0011495.jpg,,,IE000000000010139050,,2021/07/02 14:09:31+00
1577708.4392,5172302.8026,3069,Skateboard Ramp,In Service,CCC,Park,Park,Approximate XY,Unknown,Unknown,Eastern Contract Area,No,No,Unknown,Unknown,2008/02/15 12:27:51+00,2018/01/01 13:00:00+00,,,,PRK_3514 - Oxford Street Reserve,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010394.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010394.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20080111/00378/R0010394.jpg,17m N of Centre of Park,concrete solid,IE000000000010039048,,2024/09/09 09:54:42+00
