Location,Main_Track,Track_Name,Road_Name,Road_Section,Surface,Use_,Difficulty,OBJECTID,WIDTH_M_,Distance,Source,WalkTime,RideTime,PrimaryUse,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength
Keith George Memorial Park,Trig and North Ridge Loop,Trig Track,,,Gravel/Natural Trail,Walking,Moderate - Hard,1,,,UHCC,,,Walking,{B29C2D38-477C-4B4E-B79D-721624613B36},,,CSPENCE,2025/10/06 00:40:37+00,1155.15299952159
Pinehaven Reserve,,,,,Gravel/Natural Trail,Multi,Easy,2,,,UHCC,,,Walking,{33805FD0-4C98-42F7-A999-DA4CB7999D52},,,CSPENCE,2025/10/01 03:58:13+00,318.846211407485
Akatarawa Forest,Karapoti Classic,Karapoti Gorge,,,Gravel/Natural Trail,Multi,Moderate,3,,,"UHCC
",,,Biking,{7541189D-CE3A-44C5-9F25-C017E5EBB4DD},,,CSPENCE,2025/10/06 00:16:04+00,4156.51302724184
Keith George Memorial Park,,Loop Track,,,Gravel/Natural Trail,Walking,Easy,4,,,UHCC,,,Walking,{B9BA371E-6590-4772-B49F-E450403E7D76},,,,,547.088152429077
Keith George Memorial Park,Trig and North Ridge Loop,Trig Track,,,Gravel/Natural Trail,Walking,Easy,5,,,UHCC,,,Walking,{C8F361EC-3C6F-44D5-8D6F-225A169D4677},,,,,333.249094756625
Keith George Memorial Park,,Pylon Access Track,,,Gravel/Natural Trail,Walking,Hard,6,,,UHCC,,,Walking,{025BFFA1-DABB-4CF4-AC5C-638EA0083540},,,CSPENCE,2025/10/06 00:40:37+00,2699.41233490486
Akatarawa Forest,,Cannon Point Walkway,,,Gravel/Natural Trail,Multi,Moderate,7,,,UHCC,,,Walking,{1B3A470C-EBB5-46AF-A40A-966743D3E0C9},,,,,3541.59200199868
Kaitoke Regional Park,,Loop Walk,,,Gravel/Natural Trail,Walking,Easy,8,,,GWRC & UHCC,,,Walking,{43DFDD14-2E5D-4B6A-A6F7-E3D3D215CD51},,,,,213.175699215126
Kaitoke Regional Park,,The Terrace Walk,,,Gravel/Natural Trail,Walking,Easy,9,,,UHCC,,,Walking,{438642F0-FD10-4D31-BCC8-BCDF66885544},,,,,427.080701518106
Kaitoke Regional Park,Nortbett Creek Loop,Pākuratahi River Walk,,,Gravel/Natural Trail,Walking,Easy,10,,,GWRC & UHCC,,,Walking,{5EF6A34C-B052-457B-A998-9174A49289C5},,,,,1217.92094177458
Kaitoke Regional Park,,Ridge Track,,,Gravel/Natural Trail,Walking,Moderate - Hard,11,,,GWRC & UHCC,,,Walking,{35B4BBD9-90B8-4CB6-8A66-22F86CE1D736},,,,,7042.43072045869
Kaitoke Regional Park,,Weir Walk,,,Sealed Path,Walking,Easy,12,,,GWRC,,,Walking,{27BA7226-3FEE-423D-862A-89457A65C61C},,,,,682.440894458142
Pākuratahi Forest,,Mt Climie,,,Gravel/Dirt Road,Multi,Hard,13,,,UHCC,,,4WD,{5A5C556F-2009-494D-8586-BB5840DED4E5},,,,,5871.83903411618
Tunnel Gully,Remutaka Rail Trail,Tunnel Drive,,,Sealed Path,Multi,Easy,14,,,Tracks.org.nz,,,Walk & Biking,{CB580571-4B9E-4277-B22F-57379445652D},,,,,1325.28459128408
Tunnel Gully,,Pondy Loop,,,Gravel/Natural Trail,Multi,Moderate,15,,,Tracks.org.nz & NtrailZ & UHCC,,,Biking,{9A68ECEC-1419-4AD0-99EB-B74766B78E3E},,,,,1208.15212598904
Tunnel Gully,,Mount Climie Steep Track,,,Natural Path,Multi,Hard,16,,,Tracks.org.nz & UHCC,,,Walking & Biking,{50747409-5477-441B-8303-4426820962D0},,,CSPENCE,2025/09/26 01:56:10+00,671.342867221904
Tunnel Gully,Tunnel Gully Loop,Wide Open,,,Gravel/Dirt Road,Multi (4WD),Easy - Moderate,17,,,NtrailZ & UHCC,,,Biking,{7C377D8A-C81F-43CF-A448-FC256335A8FE},,,,,932.31735402152
Tunnel Gully,,Tane's Track,,,Gravel/Natural Trail,Multi,Moderate - Hard,18,,,UHCC,,,Walking & Biking,{AC96E8AB-E3F4-4206-9972-B09873987D25},,,,,2344.31536412629
Silverstream Spur,,Goodwin Drive,,,Gravel/Natural Trail,Multi,Moderate,19,,,TrailForks,,,Walking & Biking,{31631901-26FE-4FCF-9C65-E422FFFDB5B1},,,,,709.661286366491
Pākuratahi Forest,,Station Link,,,Gravel/Natural Trail,Multi,Easy,22,,,NtrailZ,,,Biking,{64B17A2A-A374-4160-8022-DB41EA1B41FD},,,,,770.915379208148
Pākuratahi Forest,,2 Bee Line,,,Gravel/Dirt Road,Multi (4WD),Moderate,23,,,NtrailZ,,,Biking,{5B6D40A9-6D45-4384-AE86-B6C171E50C05},,,,,1126.46317059216
Pākuratahi Forest,,Bee Line,,,Gravel/Natural Trail,Biking,Moderate,24,,,NtrailZ,,,Biking,{451FEAEE-20F5-4042-A008-4BB297A4796B},,,,,380.097570807553
Pākuratahi Forest,,Bees to Bridge,,,Gravel/Natural Trail,Multi,Moderate,25,,,NtrailZ,,,Biking,{56CE4666-F1A0-4C3F-86D6-33FD59F92343},,,,,478.463631521251
Pākuratahi Forest,,G-Drop,,,Gravel/Natural Trail,Biking,Moderate,26,,,NtrailZ,,,Biking,{9BDF212C-9E34-4BE4-8A9F-BFF375E26B18},,,,,331.34895674312
Pākuratahi Forest,,Taniwha,,,Gravel/Natural Trail,Biking,Moderate,27,,,NtrailZ,,,Biking,{52D95045-27DE-44A6-9572-9D04F882C606},,,,,1084.85535852604
Tunnel Gully,,Brazilian,,,Gravel/Natural Trail,Biking,Expert,28,,,NtrailZ,,,Biking,{3FB584BD-B2F5-47CD-B64C-72F046C722C3},,,,,453.50811448004
Tunnel Gully,,Horse Track,,,Gravel/Natural Trail,Multi,Moderate,29,,,NtrailZ,,,Biking,{FBF43DF9-1B7F-48A0-94AD-35EA25854ED9},,,,,471.319347631398
Tunnel Gully,,Flat Out,,,Gravel/Natural Trail,Multi,Moderate,30,,,NtrailZ,,,Biking,{81F5E85D-EA58-488C-9BDA-DDBF5C430CCB},,,,,608.899775044495
Pākuratahi Forest,Remutaka Rail Trail,Station Drive,,,Gravel/Dirt Road,Multi (4WD),Easy - Moderate,31,,,NtrailZ,,,Biking,{287B93A0-8FBA-4EE4-B354-5815C38498B5},,,,,2638.08668146173
Pākuratahi Forest,,Goat Rock Drive,,,Gravel/Dirt Road,Multi (4WD),Moderate,32,,,NtrailZ,,,Biking,{2E5FF899-61A8-49FD-9AC6-76F2B42DF0F7},,,,,5059.53596088989
Keith George Memorial Park,,St Pats Up,,,Gravel/Natural Trail,Multi (4WD),Moderate,33,,,TrailForks,,,Biking,{7F448FC1-40AC-42A9-AD03-E61719DE857F},,,CSPENCE,2025/10/06 00:40:37+00,1810.59972351508
Keith George Memorial Park,,Popeye,,,Gravel/Natural Trail,Biking,Expert,34,,,TrailForks,,,Biking,{F58C5735-A4EB-4285-BB81-98D721442D80},,,CSPENCE,2025/10/06 00:40:37+00,431.021740551306
Akatarawa Forest,,,Valley View Road, from Totara Park Bridge to Cannon Point,Gravel/Dirt Road,Multi (4WD Forestry),Moderate,35,,,NtrailZ,,,Biking,{77DB0F1D-6E2F-4DA8-A8A0-7526BE6E56F1},,,CSPENCE,2025/09/26 02:23:37+00,4712.85710748003
Akatarawa Forest,,,Cannon Point Road,,Gravel/Natural Trail,Multi,Moderate,36,,,NtrailZ,,,Biking,{5793A557-E469-441A-AB24-914528E343DE},,,CSPENCE,2025/09/26 02:22:52+00,2270.66371394775
Akatarawa Forest,,Cannon Point Walkway,,,Gravel/Natural Trail,Multi,Moderate,37,,,NtrailZ,,,Walking & Biking,{E93894BD-4D6A-41E6-8FDE-1880001506BD},,,,,903.690655370248
Akatarawa Forest,,Three Skulls,,,Gravel/Natural Trail,Biking,Moderate,38,,,NtrailZ,,,Biking,{9CC39823-AA7F-47BB-8176-C8C1767B4375},,,,,366.350344675386
Akatarawa Forest,,,Valley View Road, from Cannon Point to Airstrip Drive,Gravel/Dirt Road,Multi (4WD Forestry),Moderate,40,,,NtrailZ,,,Biking,{A6513026-FEEB-412B-906D-9472C4FEE606},,,,,2067.16194368148
Pākuratahi Forest,Remutaka Rail Trail,,Incline Road (Private),,Gravel/Dirt Road,Multi (4WD),Moderate,41,,,TrailForks,,,Biking,{2FE0B2B5-77A8-448E-816E-88F3F3AD16A0},,,CSPENCE,2025/10/06 03:42:58+00,17264.1340847762
Pākuratahi Forest,,Dela Rosa,,,Gravel/Dirt Road,Multi (4WD Forestry),Moderate,42,,,TrailForks,,,Biking,{0A111142-5BE2-4B3F-8C13-01B4AE99429A},,,,,4470.98079079551
Pākuratahi Forest,,Back Road,,,Gravel/Dirt Road,Multi (4WD),Moderate,43,,,TrailForks,,,Biking,{04A696F2-CE3A-43FF-A4A6-30D1FDF76F43},,,CSPENCE,2025/10/06 01:20:26+00,3032.59980452234
Kaitoke Regional Park,,Pylon Loop Track / Kaitoke Pines,,,Gravel/Dirt Road,Multi,Moderate,44,,,GWRC & TrailForks,,,Walking & Biking,{19F19AE7-CF1D-4C91-AF70-5270C113AFDB},,,,,1336.10511400811
Kaitoke Regional Park,,Kaitoke Hill Track / Kaitoke Coaster,,,Gravel/Dirt Road,Multi (4WD),Moderate,45,,,GWRC & TrailForks,,,Walking,{0F4FCF38-2CB1-4B4C-8BFC-AE8EE11AEA23},,,,,1327.63448124007
Kaitoke Regional Park,,Keith Spry Path,,,Sealed Path,Walking,Easy,46,,,GWRC,,,Walking,{E40F72D5-9A61-4A4B-B4A5-25B342EDB04C},,,,,46.9784653172614
Kaitoke Regional Park,Nortbett Creek Loop,Nortbett Creek Route,,,Gravel/Natural Trail,Walking,Moderate,47,,,GWRC & UHCC,,,Walking,{53AEEECD-B5FB-4E96-9506-7F39C205FFEA},,,,,1565.47892045283
